new,host,a,soa,ns,status_code,cname,cdn,cdn-name,mx,txt,aaaa,has_internal_ips,internal_ips,caa
[x],appdeum.standard.com,198.182.194.24,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],appsacc.standard.com,198.182.194.152,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],bbes.standard.com,198.182.194.30,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],connectiontest.standard.com,198.182.194.250,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],desktoptest.standard.com,"198.182.194.252, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com","ns2.p14.dynect.net, ns3.p14.dynect.net, stdnsdfw1.standard.com, stdname4.standard.com, ns1.p14.dynect.net, ns4.p14.dynect.net",NOERROR,,,,,,,,,
[x],devlab.standard.com,96.85.131.145,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],dsyncex.standard.com,198.182.194.107,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],fedauth2.standard.com,198.182.194.228,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],feedacc.standard.com,198.182.194.162,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],hlblskybp001.standard.com,,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],ibmwvoicp001.standard.com,198.182.194.31,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],mi2.standard.com,198.182.194.227,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],nuqneh.standard.com,204.203.92.138,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],sfbav.standard.com,"198.182.194.56, 198.182.194.53","ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],stdname5.standard.com,"198.133.149.40, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com","ns3.p14.dynect.net, ns2.p14.dynect.net, stdname4.standard.com, stdnsdfw1.standard.com, ns1.p14.dynect.net, ns4.p14.dynect.net",NOERROR,,,,,,,,,
[x],stdnsdfw1.standard.com,198.182.191.39,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],wa2.accportalweb.standard.com,198.182.194.193,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],wa4.accportalweb.standard.com,198.182.194.193,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],wa5.accportalweb.standard.com,198.182.194.193,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
[x],www.accportalweb.standard.com,198.182.194.193,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
,accesstest.standard.com,"198.182.194.251, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com","ns3.p14.dynect.net, stdnsdfw1.standard.com, stdname4.standard.com, ns2.p14.dynect.net, ns1.p14.dynect.net, ns4.p14.dynect.net",NOERROR,,,,,,,,,
,account.standard.com,198.182.194.153,"ipamext1.standard.com, wired.standard.com",,NOERROR,www3.standard.com,,,,,,,,
,accportal-emp.standard.com,23.247.187.38,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
,accportal-mbr.standard.com,23.247.187.38,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
,acp.standard.com,198.182.194.8,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
,acpacc.standard.com,198.182.194.9,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
,adminease.standard.com,,,,NOERROR,,,,,,,,,
,agility.standard.com,"85.222.140.11, 85.222.140.13, 85.222.140.6","dns1.p02.nsone.net, hostmaster.nsone.net",,NOERROR,"agility.standard.com.00du0000000hjfkmag.live.siteforce.com, 1p.edge2.salesforce.com, europe.edge2.salesforce.com, fra.edge2.salesforce.com",,,,,,,,
,api.dcx.standard.com,20.237.181.110,"tm1.dns-tm.com, hostmaster.trafficmanager.net",,NOERROR,dcx-traffic-manager-prod.trafficmanager.net,,,,,,,,
,api.edp.standard.com,20.237.160.54,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
,api.pas.standard.com,20.237.225.61,"ns1-02.azure-dns.com, msnhst.microsoft.com",,NOERROR,"pas-traffic-manager-prod.trafficmanager.net, pas-prod.westus.cloudapp.azure.com",,,,,,,,
,autodiscover.standard.com,"198.182.194.46, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com","ns1.p14.dynect.net, stdname4.standard.com, ns2.p14.dynect.net, ns4.p14.dynect.net, ns3.p14.dynect.net, stdnsdfw1.standard.com",NOERROR,o365.standard.com,,,,,,,,
,cat-v3.nonprod.eb.standard.com,20.99.208.125,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
,cat-v3.prod.eb.standard.com,20.252.78.112,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
,citrix-dr.standard.com,"198.182.191.11, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com","ns2.p14.dynect.net, ns3.p14.dynect.net, stdnsdfw1.standard.com, stdname4.standard.com, ns1.p14.dynect.net, ns4.p14.dynect.net",NOERROR,,,,,,,,,
,citrix-hcl.standard.com,198.182.194.59,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
,citrix-nonprod.standard.com,198.182.194.118,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
,citrix.standard.com,198.182.194.119,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
,claim-staging.standard.com,52.149.63.24,"ipamext1.standard.com, wired.standard.com",,NOERROR,,True,azure,,,,,,
,claim.standard.com,20.80.156.175,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
,click.message.standard.com,13.111.241.129,"ns1.exacttarget.com, hostmaster.exacttarget.com",,NOERROR,,,,,,,,,
,cloud.message.standard.com,13.111.239.208,"ns1.exacttarget.com, hostmaster.exacttarget.com",,NOERROR,,,,,,,,,
,cloudauth-test.standard.com,198.182.194.18,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
,cm.standard.com,52.36.131.229,"ipamext1.standard.com, wired.standard.com",,NOERROR,,,,,,,,,
