input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,csp_domains_,final_url
23.blob.threema.ch,403 Forbidden,403,548,23.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,23.blob.threema.ch,443,https://23.blob.threema.ch:443,https,nginx,text/html,GET,185.88.236.102,/,586998417,185.88.236.102,Nginx,14,False,,,
23.ds.blob.threema.ch,403 Forbidden,403,548,23.ds.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,23.ds.blob.threema.ch,443,https://23.ds.blob.threema.ch:443,https,nginx,text/html,GET,185.88.236.102,/,586998417,2a02:41b:300a:301::102,Nginx,14,False,,,
24.blob.threema.ch,403 Forbidden,403,548,,,,,,,,,,,,,,,,,,,,80,http://24.blob.threema.ch:80,http,nginx,text/html,GET,185.88.236.106,/,586998417,185.88.236.106,Nginx,14,False,,,
24.ds.blob.threema.ch,403 Forbidden,403,146,24.ds.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,24.ds.blob.threema.ch,443,https://24.ds.blob.threema.ch:443,https,nginx,text/html,GET,185.88.236.106,/,-1561873722,2a02:41b:300a:301::106,Nginx,8,False,,,
25.blob.threema.ch,403 Forbidden,403,146,25.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,25.blob.threema.ch,443,https://25.blob.threema.ch:443,https,nginx,text/html,GET,185.88.236.72,/,-1561873722,185.88.236.72,Nginx,8,False,,,
27.blob.threema.ch,403 Forbidden,403,146,27.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,27.blob.threema.ch,443,https://27.blob.threema.ch:443,https,nginx,text/html,GET,185.88.236.116,/,-1561873722,185.88.236.116,Nginx,8,False,,,
27.ds.blob.threema.ch,403 Forbidden,403,146,27.ds.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,27.ds.blob.threema.ch,443,https://27.ds.blob.threema.ch:443,https,nginx,text/html,GET,185.88.236.116,/,-1561873722,2a02:41b:300a:301::116,Nginx,8,False,,,
31.blob.threema.ch,403 Forbidden,403,146,31.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,31.blob.threema.ch,443,https://31.blob.threema.ch:443,https,nginx,text/html,GET,212.103.68.17,/,-1561873722,212.103.68.17,Nginx,8,False,,,
31.ds.blob.threema.ch,403 Forbidden,403,146,31.ds.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,31.ds.blob.threema.ch,443,https://31.ds.blob.threema.ch:443,https,nginx,text/html,GET,212.103.68.17,/,-1561873722,2a00:c38:1fb:302::17,Nginx,8,False,,,
api-work.threema.ch,,404,,api-work.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2018-06-06T08:26:49Z,2023-06-05T08:26:49Z,"CN=api-work.threema.ch, OU=Work API, O=Threema GmbH, ST=Schwyz, C=CH",api-work.threema.ch,Threema GmbH,api-work.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,e76bda7722c3ea13fa656ca874ca796a,23fda40153a8a3e4e8ed67db246534f329471d3e9a8c8d0fe8a78a2b8761f99b,,ctls,api-work.threema.ch,443,https://api-work.threema.ch:443,https,nginx,text/html,GET,185.88.236.89,/,-1840324437,2a02:41b:300a:301::89,Nginx,1,False,,,
