new,host,a,soa,status_code,cdn,cdn-name,cname,mx,txt,ns,aaaa,caa
[x],1password-scim-2.traderepublic.com,34.118.120.250,"ns-1628.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
[x],account.traderepublic.com,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,eu.sparkpostmail.com,smtp.eu.sparkpostmail.com,"v=spf1 exists:%{i}._spf.sparkpostmail.com ~all, 202203052053464ssc9e0bx6sxfn166dy9hz8920yzqh29g2osq7ipzecjw7a4pj, google-site-verification=Qx_Hf7j4nPAg9U0GwAwXHrYd0VQ7zysFmqBUzgAa4CQ","ns-1800.awsdns-33.co.uk, ns-384.awsdns-48.com, ns-894.awsdns-47.net, ns-1107.awsdns-10.org",,
[x],alertmanager.production.traderepublic.com,,"ns-157.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],api.traderepublic.com,"18.193.216.197, 3.66.141.70, 35.156.222.118","ns-1628.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],app.traderepublic.com,"108.138.17.100, 108.138.17.5, 108.138.17.37, 108.138.17.59","ns-1628.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],assets.traderepublic.com,"143.204.68.74, 143.204.68.110, 143.204.68.9, 143.204.68.104","ns-1628.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],brand.traderepublic.com,"18.184.209.54, 3.127.185.60, 35.156.171.100","ns-1322.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,,,c-b4135294a9e3d095b107f41f9fe3ee9d.frontify.com,,,,,
[x],clicks.traderepublic.com,"52.85.242.63, 52.85.242.26, 52.85.242.117, 52.85.242.86","ns-1628.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],corp.traderepublic.com,,"ns-1372.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1372.awsdns-43.org, ns-1748.awsdns-26.co.uk, ns-452.awsdns-56.com, ns-987.awsdns-59.net",,
[x],engineering.traderepublic.com,"162.159.153.4, 162.159.152.4","ns-1628.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,,,,,
[x],fonts.traderepublic.com,"13.224.189.114, 13.224.189.105, 13.224.189.25, 13.224.189.65","ns-1628.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],github-approval-bot.production.traderepublic.com,"3.66.141.70, 35.156.222.118, 18.193.216.197","ns-157.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],grafana.production.traderepublic.com,,"ns-157.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],id.corp.traderepublic.com,18.184.215.22,"ns-1372.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],info.traderepublic.com,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,eu.sparkpostmail.com,,"202203052053464ssc9e0bx6sxfn166dy9hz8920yzqh29g2osq7ipzecjw7a4pj, google-site-verification=Qx_Hf7j4nPAg9U0GwAwXHrYd0VQ7zysFmqBUzgAa4CQ, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all",,,
[x],internal.production.traderepublic.com,,,NOERROR,,,,,,,,
[x],maillink.traderepublic.com,"18.195.68.227, 18.195.71.103, 35.159.7.178","ns-1628.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mp.traderepublic.com,"151.101.66.133, 151.101.130.133, 151.101.2.133, 151.101.194.133","ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,mparticle.map.fastly.net,,,,"2a04:4e42:400::645, 2a04:4e42:600::645, 2a04:4e42::645, 2a04:4e42:200::645",
[x],pfsense.corp.traderepublic.com,3.125.13.61,"ns-1372.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],pfsense.production.traderepublic.com,18.185.59.109,"ns-157.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],podcast.traderepublic.com,"18.193.216.197, 3.66.141.70, 35.156.222.118","ns-1628.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],prometheus-eks.internal.production.traderepublic.com,,,NOERROR,,,,,,,,
[x],prometheus.production.traderepublic.com,,"ns-157.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],sandbox-teleport.corp.traderepublic.com,"3.127.212.174, 3.65.151.246, 3.67.157.75","ns-1372.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1372.awsdns-43.org, ns-1748.awsdns-26.co.uk, ns-452.awsdns-56.com, ns-987.awsdns-59.net",,
[x],sandbox-teleport.internal.corp.traderepublic.com,"3.67.157.75, 3.127.212.174, 3.65.151.246","ns-1372.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1372.awsdns-43.org, ns-1748.awsdns-26.co.uk, ns-452.awsdns-56.com, ns-987.awsdns-59.net",,
[x],security-playground.traderepublic.com,,"ns-1471.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-277.awsdns-34.com, ns-585.awsdns-09.net, ns-1778.awsdns-30.co.uk, ns-1471.awsdns-55.org",,
[x],sentry.production.traderepublic.com,,"ns-157.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],success-board.traderepublic.com,"108.138.64.77, 108.138.64.100, 108.138.64.23, 108.138.64.76","ns-1628.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
