new,host,a,soa,status_code,cname,caa,cdn,cdn-name,aaaa,ns,mx,txt,has_internal_ips,internal_ips
[x],analytics.trellix.com,"35.155.179.68, 205.251.192.158, 205.251.195.132, 205.251.196.190, 205.251.198.181","ns-900.awsdns-48.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1717.awsdns-22.co.uk, ns-900.awsdns-48.net, ns-158.awsdns-19.com, ns-1214.awsdns-23.org",,,,
[x],apacvpn.trellix.com,103.245.47.188,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api-inteks.soc.trellix.com,"35.160.130.69, 44.239.23.222, 35.83.138.38","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"api.inteks.cop-trellix.com, 5d7f9af7-inteks-kong3albin-4f5d-53087657.us-west-2.elb.amazonaws.com",,,,,,,,,
[x],api-lowerint.soc.trellix.com,"54.69.170.232, 34.211.129.76, 52.27.124.5","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"api.lowerint.cop-trellix.com, k8s-lowerint-kong3alb-e6c93d1e27-953025616.us-west-2.elb.amazonaws.com",,,,,,,,,
[x],api.soc.ap-south-1.trellix.com,,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"api-edrind.edrind.ccs-trellix.com, k8s-edrind-kong3alb-5c8622149d-492089183.ap-south-1.elb.amazonaws.com",,,,,,,,,
[x],api.soc.ap-southeast-2.trellix.com,,"ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,"api-edraps.edraps.ccs-trellix.com, k8s-edraps-kong3alb-58e29c05eb-1601124592.ap-southeast-2.elb.amazonaws.com",,,,,"ns-1224.awsdns-25.org, ns-136.awsdns-17.com, ns-1563.awsdns-03.co.uk, ns-758.awsdns-30.net",,,,
[x],api.soc.ca-central-1.trellix.com,"15.222.174.225, 3.97.36.246, 15.223.7.145","ns-616.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,"api-edrcac.edrcac.ccs-trellix.com, k8s-edrcac-kong3alb-d2ce8d05ae-1974459574.ca-central-1.elb.amazonaws.com",,,,,,,,,
[x],api.soc.eu-central-1.trellix.com,"3.125.7.189, 18.184.0.70, 3.68.173.147","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"api-edreuc.edreuc.ccs-trellix.com, k8s-edreuc-kong3alb-74454643fa-1882969819.eu-central-1.elb.amazonaws.com",,,,,"ns-1326.awsdns-37.org, ns-1689.awsdns-19.co.uk, ns-417.awsdns-52.com, ns-613.awsdns-12.net",,,,
[x],api.soc.preprod.trellix.com,"54.184.238.161, 54.213.135.151, 44.240.231.164","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"api-edrpreprod.edrpreprod.ccs-trellix.com, k8s-edrprepr-kong3alb-871ebe1a72-1239451050.us-west-2.elb.amazonaws.com",,,,,,,,,
[x],api.soc.us-east-1.trellix.com,"3.209.182.55, 67.202.19.121, 23.22.100.236","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"api-edruse.edruse.ccs-trellix.com, k8s-edruse-kong3alb-26ca5fd45b-1228918254.us-east-1.elb.amazonaws.com",,,,,,,,,
