input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_subject_org_,csp_domains_,tls_mismatched
blog.trello.com,"Trello Blog | Helping teams work better, together.",200,100502,AS209242,"CLOUDFLARESPECTRUM Cloudflare, Inc.",US,199.60.103.0/24,blog.trello.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T21:02:15Z,2023-06-26T21:02:14Z,CN=blog.trello.com,blog.trello.com,blog.trello.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,db8e5a1494830ada3618280b76135856,5af2403a78a120cd596e6768d9302349566c9fc5467bdc8fc25c30f89d73b2ec,,ctls,blog.trello.com,,443,https://blog.trello.com:443,https,cloudflare,text/html,GET,199.60.103.2,/,1365604607,2606:2c40::c73c:67fe,HubSpot CMS Hub,2010,False,,,,,
bot.butlerfortrello.com,,403,42,AS0,Not routed,None,99.86.8.0/24,bot.butlerfortrello.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-07-09T23:59:59Z,CN=api.butlerfortrello.com,api.butlerfortrello.com,bot.butlerfortrello.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,569c2184295de69b14a14738600b6771,ed1d798cc0ffb29d90c682e4d49424cc54944886dac48292740b0ebe689e805e,,ctls,bot.butlerfortrello.com,cloudfront,443,https://bot.butlerfortrello.com:443,https,,application/json,GET,99.86.4.59,/,-392204540,99.86.4.72,Amazon Web Services,1,False,True,,,,
box.staging.trello.services,,200,315,AS16509,AS16509,Unknown,13.225.96.0/21,box.staging.trello.services,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-07T23:59:59Z,CN=*.staging.trello.services,*.staging.trello.services,*.staging.trello.services,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6fc89d4dcef9e54c66b75fc8434d1d03,2e42caf10b7172cad5ff719d9ee64e5b09e599fb3f83437ef52d92b067d46c8c,True,ctls,box.staging.trello.services,cloudfront,80,http://box.staging.trello.services:80,http,envoy,text/html,GET,13.225.78.5,/,,13.225.78.51,Envoy,1,False,True,https://box.staging.trello.services/,,,
br.blog.trello.com,Blog do Trello |​ Potencializando o trabalho em equipe,200,93368,AS209242,"CLOUDFLARESPECTRUM Cloudflare, Inc.",US,199.60.103.0/24,blog.trello.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T21:02:15Z,2023-06-26T21:02:14Z,CN=blog.trello.com,blog.trello.com,blog.trello.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,db8e5a1494830ada3618280b76135856,5af2403a78a120cd596e6768d9302349566c9fc5467bdc8fc25c30f89d73b2ec,,ctls,blog.trello.com,,443,https://br.blog.trello.com:443,https,cloudflare,text/html,GET,199.60.103.2,/,,2606:2c40::c73c:67fe,HubSpot CMS Hub,1934,False,,https://blog.trello.com/br,,,
calendar.staging.trello.services,,200,2,AS16509,AS16509,Unknown,13.225.96.0/21,calendar.staging.trello.services,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-07T23:59:59Z,CN=*.staging.trello.services,*.staging.trello.services,*.staging.trello.services,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6fc89d4dcef9e54c66b75fc8434d1d03,2e42caf10b7172cad5ff719d9ee64e5b09e599fb3f83437ef52d92b067d46c8c,True,ctls,calendar.staging.trello.services,cloudfront,443,https://calendar.staging.trello.services:443,https,envoy,text/plain,GET,13.225.78.111,/,1593207841,13.225.78.119,Envoy,1,False,True,,,,
card-fields.trello.services,,200,133,AS16509,AS16509,Unknown,13.225.96.0/21,card-fields.trello.services,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-07-09T23:59:59Z,CN=*.trello.services,*.trello.services,*.trello.services,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,15202453f46f55df640513e597ce8238,4013ec4f550d45d80a95e767f6ab090fcd394d1db5b9d89abbf96973e9e7abda,True,ctls,card-fields.trello.services,cloudfront,443,https://card-fields.trello.services:443,https,envoy,text/html,GET,13.225.78.80,/,1593207841,13.225.78.45,Envoy,1,False,True,,,,
card-snooze.trello.services,,200,311,AS16509,AS16509,Unknown,13.225.96.0/21,card-snooze.trello.services,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-07-09T23:59:59Z,CN=*.trello.services,*.trello.services,*.trello.services,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,15202453f46f55df640513e597ce8238,4013ec4f550d45d80a95e767f6ab090fcd394d1db5b9d89abbf96973e9e7abda,True,ctls,card-snooze.trello.services,cloudfront,443,https://card-snooze.trello.services:443,https,envoy,text/html,GET,13.225.78.72,/,-738705486,13.225.78.45,Envoy,1,False,True,,,,
confluence.staging.trello.services,Confluence Power-Up,200,468,AS16509,AS16509,Unknown,13.225.96.0/21,confluence.staging.trello.services,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-07T23:59:59Z,CN=*.staging.trello.services,*.staging.trello.services,*.staging.trello.services,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6fc89d4dcef9e54c66b75fc8434d1d03,2e42caf10b7172cad5ff719d9ee64e5b09e599fb3f83437ef52d92b067d46c8c,True,ctls,confluence.staging.trello.services,cloudfront,80,http://confluence.staging.trello.services:80,http,envoy,text/html,GET,13.225.78.51,/,1593207841,13.225.78.111,Envoy,1,False,True,https://confluence.staging.trello.services/,,,
design.trello.com,Atlassian Design System,200,320792,AS16509,AS16509,Unknown,13.225.96.0/21,atlassian.design,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.atlassian.design, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.atlassian.design,atlassian.design,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f905827573f0e6e447b0899487bb1a34,ce8dba6a365ae723c4fe7f495e2558d520e06b644eca2cae404732324d58702c,True,ctls,atlassian.design,cloudfront,443,https://design.trello.com:443,https,AtlassianEdge,text/html,GET,13.225.78.97,/,621678576,13.225.78.91,webpack,653,False,True,https://atlassian.design/,Atlassian Pty Ltd,,
evernote.staging.trello.services,,200,155,AS16509,AS16509,Unknown,13.225.96.0/21,evernote.staging.trello.services,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-07T23:59:59Z,CN=*.staging.trello.services,*.staging.trello.services,*.staging.trello.services,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6fc89d4dcef9e54c66b75fc8434d1d03,2e42caf10b7172cad5ff719d9ee64e5b09e599fb3f83437ef52d92b067d46c8c,True,ctls,evernote.staging.trello.services,cloudfront,443,https://evernote.staging.trello.services:443,https,envoy,text/html,GET,13.225.78.51,/,1593207841,13.225.78.5,Envoy,1,False,True,,,,
