new,host,soa,status_code,a,aaaa,mx,ns,txt,caa,cname
,4chanhehacker.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,_sipfederationtls._tcp.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,api.local.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,app.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,blog.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,custom.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,info.tutanota.de,"ns-1432.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,"52.50.106.86, 54.75.178.70, 54.171.118.178",,bouncer.crsend.com,,v=spf1 include:spf.crsend.com ~all,,cname.eu1.cleverreach.com
,keemail.me,"ns-927.awsdns-51.net, awsdns-hostmaster.amazon.com",NOERROR,"185.205.69.12, 205.251.192.226, 205.251.195.159, 205.251.197.236, 205.251.198.70",2a10:e000:1::12,mail.tutanota.de,"ns-226.awsdns-28.com, ns-927.awsdns-51.net, ns-1516.awsdns-61.org, ns-1606.awsdns-08.co.uk","google-site-verification=l1upJUs0bwB1Jrh3LPPM9ymvv1bMOJOlxF3oetDYXnE, v=spf1 include:spf.tutanota.de -all","letsencrypt.org, sectigo.com",
,launch.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,local.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,login.local.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,login.test.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.51,2a01:4f8:221:1d48::100:51,,,v=spf1 include:spf.test.tutanota.de -all,,
,login.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.10,2a10:e000:1::10,,,v=spf1 include:spf.tutanota.de -all,,
,logind.test.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,mail.test.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"188.40.133.51, 188.40.133.52",,,,v=spf1 -all,,
,mail.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.10,,,,v=spf1 -all,,
,mail.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"81.3.6.162, 81.3.6.165, 185.205.69.211",,,,v=spf1 -all,,
,morgantowndirect.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,mta-sts.keemail.me,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.10,2a10:e000:1::10,,,v=STSv1; id=20190723;,,mta-sts.tutanota.com
,mta-sts.test.keemail.me,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.51,2a01:4f8:221:1d48::100:51,,,,,mta-sts.test.tutanota.com
,mta-sts.test.tuta.io,"ns-660.awsdns-18.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,mta-sts.test.tutanota.de,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.51,2a01:4f8:221:1d48::100:51,,,,,mta-sts.test.tutanota.com
,mta-sts.tuta.io,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.10,2a10:e000:1::10,,,v=STSv1; id=20190723;,,mta-sts.tutanota.com
,mta-sts.tutamail.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.10,2a10:e000:1::10,,,v=STSv1; id=20190723;,,mta-sts.tutanota.com
,mta-sts.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.10,2a10:e000:1::10,,,v=STSv1; id=20190723;,,
,new.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,now.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.16,2a10:e000:1::16,,,v=spf1 -all,,
,pay.test.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.51,2a01:4f8:221:1d48::100:51,,,v=spf1 -all,,
,pay.test.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,pay.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.10,2a10:e000:1::10,,,v=spf1 -all,,
,pay.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,pittandrews.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,pp.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,s.1._taveirajr.com.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,s1.domainkey.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"v=DKIM1; k=rsa; h=sha256; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA4d/jridMLV9rZ/lBiDYA17BWKWIHnvLzCVGoFcOENqxLym8ro869rgp82mcxobr2kPyd+sfAS/REOoZ+pkf1wnyywQrf4r9i1O9Bnop4/WsRXTIfgKtaIOtwyhgsv9JH5KpxeQxHwl9CEHhqJuF, Jp808gbqRZt6PDp2YetB23EyJ5kp/jpn5/aCvVpC27+jnQH6NoYN8wNsC6cTSA1EhL1etUwJrZUwRtf8S2PIDJOm1/CUtc9a/d3sZk15LDtUUbODrQMrj5mzMzHPYp43MwLFRlvSa/O+xIx8esNxwnDa7PH6PZLB8lhtkY49/4ofKV5BQKMGmGmyn+rgYDHD8iwIDAQAB",,s1._domainkey.tutanota.de
