input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,tech_,lines,failed,final_url,chain_status_codes_,tls_subject_org_,webserver
https://now.tutanota.de,Error 404 Not Found,404,352,https://*.api.tutanota.com,now.tutanota.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-01T23:26:54Z,2023-06-30T23:26:53Z,CN=now.tutanota.de,now.tutanota.de,now.tutanota.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,265066bc537e1b66bed66141daab9253,b831230214fb802480a3da403cfe3f1b34850289c5e932fcfe2f49fed6f62d9a,ctls,now.tutanota.de,443,https://now.tutanota.de:443,https,text/html,GET,185.205.69.16,/,-733844405,HSTS,16,False,,,,
https://tutanota.com,Secure email: Tutanota free encrypted email.,200,154621,https://mail.tutanota.com,tutanota.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T07:20:36Z,2023-07-10T07:20:35Z,CN=tutanota.com,tutanota.com,tutanota.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f734a14c307b5f107fd5fb9900702528,9fac7a4aefed24d2197f1ebd6f59b15be1c8e0adee970461ed40925cf153a323,ctls,tutanota.com,443,https://tutanota.com:443,https,text/html,GET,185.205.69.12,/,-584306338,HSTS,63,False,,,,
info.tutanota.de,E-Mail Marketing Software von CleverReach – Die Lösung!,200,96667,,www.cleverreach.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-30T00:00:00Z,2023-06-29T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,www.cleverreach.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2eecbc2aa8dc0c7d306aa8bd59a236e5,a1162b074257f8207c0144c982de420c3823ce4464ea2ddbfc16553b7c8dbf8b,ctls,www.cleverreach.com,443,https://info.tutanota.de:443,https,text/html,GET,54.171.89.187,/,-484605215,WordPress,971,False,https://www.cleverreach.com/de-de/,200,"Cloudflare, Inc.",cloudflare
keemail.me,Secure email: Tutanota free encrypted email.,200,154621,https://mail.tutanota.com,tutanota.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T07:20:36Z,2023-07-10T07:20:35Z,CN=tutanota.com,tutanota.com,tutanota.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f734a14c307b5f107fd5fb9900702528,9fac7a4aefed24d2197f1ebd6f59b15be1c8e0adee970461ed40925cf153a323,ctls,tutanota.com,443,https://keemail.me:443,https,text/html,GET,185.205.69.12,/,-584306338,HSTS,63,False,https://tutanota.com,200,,
mta-sts.keemail.me,Mail. Done. Right. Tutanota Login & Sign up for an Ad-free Mailbox,200,2393,https://*.api.tutanota.com,mta-sts.keemail.me,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-23T12:09:27Z,2023-07-22T12:09:26Z,CN=mta-sts.keemail.me,mta-sts.keemail.me,mta-sts.keemail.me,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e0e100ce25492d06cb9fdb89e48fe765,f8126d9b9ba6aa13b681af06ea12232671dbb141e1681bccba2df2f5e3d5b243,ctls,mta-sts.keemail.me,443,https://mta-sts.keemail.me:443,https,text/html,GET,185.205.69.10,/,2067984417,HSTS,38,False,,,,
mta-sts.tuta.io,Mail. Done. Right. Tutanota Login & Sign up for an Ad-free Mailbox,200,2393,https://mta-sts.tuta.io,mta-sts.tuta.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T13:50:21Z,2023-07-09T13:50:20Z,CN=mta-sts.tuta.io,mta-sts.tuta.io,mta-sts.tuta.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e9cd2cb820b162d96866222ea35a4f34,88afff84e8fc610008d4368c87f1bff4c69ebc45185c020697a298ed60a2d8db,ctls,mta-sts.tuta.io,443,https://mta-sts.tuta.io:443,https,text/html,GET,185.205.69.10,/,2067984417,HSTS,38,False,,,,
mta-sts.tutamail.com,Mail. Done. Right. Tutanota Login & Sign up for an Ad-free Mailbox,200,2393,https://tutanota.com,mta-sts.tutamail.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T13:50:21Z,2023-07-10T13:50:20Z,CN=mta-sts.tutamail.com,mta-sts.tutamail.com,mta-sts.tutamail.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,94561881c0707ae9f92856cd8915c058,05c7474c6eda4b3fa4a96f9d6e54c99d5f788c9da1bfec80e23d0360295c287a,ctls,mta-sts.tutamail.com,443,https://mta-sts.tutamail.com:443,https,text/html,GET,185.205.69.10,/,2067984417,HSTS,38,False,,,,
mta-sts.tutanota.com,Mail. Done. Right. Tutanota Login & Sign up for an Ad-free Mailbox,200,2393,https://*.api.tutanota.com,mta-sts.tutanota.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T07:20:16Z,2023-07-10T07:20:15Z,CN=mta-sts.tutanota.com,mta-sts.tutanota.com,mta-sts.tutanota.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,25b96ee5133b0b459d42e892942f7017,2c64763fbf389ee5bd2274126f6ec3b7e84b40e1c520ed27a5de78bed1edc1fe,ctls,mta-sts.tutanota.com,443,https://mta-sts.tutanota.com:443,https,text/html,GET,185.205.69.10,/,2067984417,HSTS,38,False,,,,
now.tutanota.de,Error 404 Not Found,404,352,https://*.api.tutanota.com,now.tutanota.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-01T23:26:54Z,2023-06-30T23:26:53Z,CN=now.tutanota.de,now.tutanota.de,now.tutanota.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,265066bc537e1b66bed66141daab9253,b831230214fb802480a3da403cfe3f1b34850289c5e932fcfe2f49fed6f62d9a,ctls,now.tutanota.de,443,https://now.tutanota.de:443,https,text/html,GET,185.205.69.16,/,-733844405,HSTS,16,False,,,,
pay.tutanota.com,,404,,,pay.tutanota.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T09:25:50Z,2023-06-20T09:25:49Z,CN=pay.tutanota.com,pay.tutanota.com,pay.tutanota.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1796f754c331a6915d6f9f9398c9d86c,524d30ea5a1c63053133d0b180979b7d03004849535cf3881c5c069d8b444053,ctls,pay.tutanota.com,443,https://pay.tutanota.com:443,https,,GET,185.205.69.10,/,-1840324437,HSTS,1,False,,,,
status.tutanota.com,NodePing - Monitoring,200,1607,,status.tutanota.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-26T00:00:00Z,2023-08-10T23:59:59Z,CN=status.tutanota.com,status.tutanota.com,www.status.tutanota.com,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,83f43d6057ac3158a3a517dd677cc966,81d14d6826063f82a8b6a77c3128cacb1b1839846537c35a9670490111b7dfc5,ctls,status.tutanota.com,443,https://status.tutanota.com:443,https,text/html,GET,51.79.77.52,/,-1611338852,,1,False,,,,
tutanota.com,Secure email: Tutanota free encrypted email.,200,154621,https://*.vimeo.com,tutanota.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T07:20:36Z,2023-07-10T07:20:35Z,CN=tutanota.com,tutanota.com,tutanota.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f734a14c307b5f107fd5fb9900702528,9fac7a4aefed24d2197f1ebd6f59b15be1c8e0adee970461ed40925cf153a323,ctls,tutanota.com,443,https://tutanota.com:443,https,text/html,GET,185.205.69.12,/,-584306338,HSTS,63,False,,,,
tutanota.de,Secure email: Tutanota free encrypted email.,200,154621,https://tutanota.com,tutanota.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T07:20:36Z,2023-07-10T07:20:35Z,CN=tutanota.com,tutanota.com,tutanota.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f734a14c307b5f107fd5fb9900702528,9fac7a4aefed24d2197f1ebd6f59b15be1c8e0adee970461ed40925cf153a323,ctls,tutanota.com,443,https://tutanota.de:443,https,text/html,GET,185.205.69.12,/,-584306338,HSTS,63,False,https://tutanota.com,200,,
w10.api.tutanota.com,Mail. Done. Right. Tutanota Login & Sign up for an Ad-free Mailbox,200,2393,https://*.api.tutanota.com,w10.api.tutanota.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:36:56Z,2023-05-25T00:36:55Z,CN=w10.api.tutanota.com,w10.api.tutanota.com,w10.api.tutanota.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4be13312b786352f214b8fb0b8596e28,07ba39170d006c6a0fa1b43eeeec94a0295f15a79893000cb09caab0e9146426,ctls,w10.api.tutanota.com,443,https://w10.api.tutanota.com:443,https,text/html,GET,185.205.69.10,/,2067984417,HSTS,38,False,,,,
