new,host,a,soa,status_code,cname,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx,txt,aaaa,caa
[x],02usnjrarps1bt0.ups.com,153.2.23.43,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],02usnjrarps29i0.ups.com,153.2.23.68,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],02usnjrarps29j0.ups.com,153.2.23.69,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],03cargo2.ups.com,153.2.86.141,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],08airupsers.ups.com,153.2.183.210,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],08airupsers2.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],08airupserscf10.ups.com,153.2.183.180,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],08fixtoken.ups.com,153.2.181.75,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],08igateg.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],08igateh.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],08mcf5bcp2.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],08mcf5bcp3.inside.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],08mcf6fps8.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],08msvc1a.inside.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],08msvc1a2.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],08ogs.ups.com,153.2.76.106,"resolve01.sslra.com, internet.ups.com",NOERROR,svrp0001dc64-ogs.ups.com,,,,,,,,,
[x],08wasp3bcp2.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],08wcf1a3.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],08wpci1a3.inside.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],08wsvc1a1.inside.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],0maplarge.inside.ups.com,156.134.213.195,"ww-gslb-adns.dmz-gslb.ups.com, netman.ups.com, mah-gslb-adns.dmz-gslb.ups.com",NOERROR,maplarge.dmz-gslb.ups.com,,,,,,,,,
[x],1maplarge.inside.ups.com,156.134.181.154,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,maplarge.dmz-gslb.ups.com,,,,,,,,,
[x],2727ems-api-prod-rr.inside.ups.com,153.2.104.95,"resolve01.sslra.com, internet.ups.com",NOERROR,apps.prr2-ocp.ups.com,,,,,,,,,
[x],2727ems-api-prod-ww.inside.ups.com,153.2.114.244,"resolve01.sslra.com, internet.ups.com",NOERROR,apps.pww2-ocp.ups.com,,,"nsa.ups.com, nsb.ups.com",,,,,,
[x],2maplarge.inside.ups.com,156.134.181.154,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,maplarge.dmz-gslb.ups.com,,,,,,,,,
[x],3maplarge.inside.ups.com,156.134.211.28,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,maplarge.dmz-gslb.ups.com,,,,,,,,,
[x],4maplarge.inside.ups.com,156.134.181.115,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,maplarge.dmz-gslb.ups.com,,,,,,,,,
[x],5maplarge.inside.ups.com,156.134.181.154,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,maplarge.dmz-gslb.ups.com,,,,,,,,,
[x],6maplarge.inside.ups.com,156.134.181.115,"ww-gslb-adns.dmz-gslb.ups.com, netman.ups.com, mah-gslb-adns.dmz-gslb.ups.com",NOERROR,maplarge.dmz-gslb.ups.com,,,,,,,,,
[x],7maplarge.inside.ups.com,156.134.213.195,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,maplarge.dmz-gslb.ups.com,,,,,,,,,
[x],a1702p2.as400.asispac.ups.com,,,NOERROR,,,,,,,,,,
[x],a2029p18.as400.us.ups.com,153.2.215.194,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],a2029p40.ups.com,"153.2.215.220, 153.2.215.219, 153.2.215.221","resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],a2401p11.as400.us.ups.com,,,NOERROR,,,,,,,,,,
[x],about.ups.com,"95.101.74.160, 95.101.74.136","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"about.ups.com.edgekey.net, e127931.dscx.akamaiedge.net",,,,,,,,"2a02:26f0:c900:9::5f65:4a88, 2a02:26f0:c900:9::5f65:4aa0",
[x],acc3.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],access.ups.com,"153.2.228.50, 153.2.224.50","resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],acm-svr1.air.ups.com,,,NOERROR,,,,,,,,,,
[x],acm-svr2.air.ups.com,,,NOERROR,,,,,,,,,,
[x],acmx-dr.air.ups.com,,,NOERROR,,,,,,,,,,
[x],acss-pri1.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],actsys1-rr.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],actsys4.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],adadmin-xwca.ups.com,,,NOERROR,,,,,,,,,,
[x],adapt-intl-dev.ups.com,34.98.127.159,"resolve01.sslra.com, internet.ups.com",NOERROR,,True,google,,,,,,,
[x],adapt-intl-prod.ups.com,35.244.139.161,"resolve01.sslra.com, internet.ups.com",NOERROR,,True,google,,,,,,,
[x],adapt-intl-test.ups.com,"34.102.231.21, 153.2.242.115, 153.2.244.155","resolve01.sslra.com, internet.ups.com",NOERROR,,True,google,"nsb.ups.com, cbru.br.ns.els-gms.att.net, cmtu.mt.ns.els-gms.att.net, ns1-auth.sprintlink.net, ns2-auth.sprintlink.net, ns3-auth.sprintlink.net, nsa.ups.com",,,,,,
[x],adapt-intl-uat.ups.com,34.102.203.43,"resolve01.sslra.com, internet.ups.com",NOERROR,,True,google,,,,,,,
[x],adapt-prod.ups.com,35.244.172.154,"resolve01.sslra.com, internet.ups.com",NOERROR,,True,google,,,,,,,
[x],adapt-test.ups.com,35.244.134.139,"resolve01.sslra.com, internet.ups.com",NOERROR,,True,google,,,,,,,
[x],adapt-uat.ups.com,34.102.138.18,"resolve01.sslra.com, internet.ups.com",NOERROR,,True,google,,,,,,,
[x],adcom.americas.ups.com,,,NOERROR,,,,,,,,,,
[x],addinfo.wweconomy.ups.com,"13.107.237.45, 13.107.238.45","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,"i-parcel.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net",,,,,,,,"2620:1ec:4e:1::45, 2620:1ec:4f:1::45",
[x],admsdmz.dmz-gslb.ups.com,153.2.183.171,"ww-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,,,,,,,,,,
[x],admsdmz.ups.com,153.2.183.171,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,admsdmz.dmz-gslb.ups.com,,,,,,,,,
[x],agb-wipslvl-svr1.inside.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],agile4.inside.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],airupsers.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],airupsers16-2.ups.com,156.134.121.159,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],aisfo2-rr.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],alp-a.dmz-gslb.ups.com,153.2.183.238,"ww-gslb-adns.dmz-gslb.ups.com, netman.ups.com, mah-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
[x],alp-a.ups.com,153.2.183.238,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,alp-a.dmz-gslb.ups.com,,,,,,,,,
[x],alp-b.dmz-gslb.ups.com,153.2.183.239,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,,,,,,,,,,
[x],alp-b.ups.com,153.2.183.239,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,alp-b.dmz-gslb.ups.com,,,,,,,,,
[x],alp-rr-a.inside.ups.com,153.2.107.64,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],alp-rr-a.ups.com,153.2.181.227,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],alp-rr-a1.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],alp-rr-a4.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],alp-rr-b.inside.ups.com,153.2.107.66,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],alp-rr-b.ups.com,153.2.181.228,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],alp-rr.ups.com,153.2.181.150,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],alp-rrbeta.inside.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],alp-ww-a.inside.ups.com,153.2.114.57,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],alp-ww-a.ups.com,153.2.183.238,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],alp-ww-a2.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],alp-ww-b.inside.ups.com,,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],alp-ww-b.ups.com,153.2.183.239,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],alp-ww.ups.com,153.2.183.150,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
