input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,webserver,final_url,csp_domains_,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn,tls_self_signed,tls_subject_org_,tls_expired
*.zopim.com,Top 13 Live-Chat-Softwares und -Apps 2023,200,116663,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2022-06-13T00:00:00Z,2023-06-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",25f0a90abb9a1b54e4e1a9705cf66b95,b58f04f3f8112d91524d92505d01c201f8d92e6cbac3b7b0a9dc8b31db89c2fb,ctls,www.zendesk.de,443,https://zopim.com:443,https,text/html,GET,104.16.106.139,/,-235018025,104.16.107.139,Cloudflare Bot Management,1551,False,cloudflare,https://www.zendesk.de/service/messaging/live-chat/?from=zp,*.zendesk.de,,True,cloudflare,True,,"Cloudflare, Inc.",
0.blog.ui.com,403 Forbidden,403,548,blog.ui.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T16:19:26Z,2023-06-22T16:19:25Z,CN=tls.automattic.com,tls.automattic.com,www.webuyhousesfredericksburg.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b0ed0e34d47d0dd908b8cf98333973a8,2d62a10d6993ddb160a1d6680bdce7c2fb83631405dec948a4d80aa302783e3a,ctls,blog.ui.com,443,https://0.blog.ui.com:443,https,text/html,GET,192.0.78.128,/,586998417,192.0.78.217,Nginx,14,False,nginx,https://blog.ui.com/,,,,,,,,
002afddc-8d58-4d9f-8607-a619ea6003e7.unifi-hosting.ui.com,UniFi OS,200,484,002afddc-8d58-4d9f-8607-a619ea6003e7.unifi-hosting.ui.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T18:12:10Z,2023-08-03T18:12:09Z,CN=002afddc-8d58-4d9f-8607-a619ea6003e7.unifi-hosting.ui.com,002afddc-8d58-4d9f-8607-a619ea6003e7.unifi-hosting.ui.com,002afddc-8d58-4d9f-8607-a619ea6003e7.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c33958eb443661cf5b181848842068b8,cdd0f9f9bc95f2a322b3df1f1f6e04528b25ebe985a5125229f03c28aac18ce9,ctls,002afddc-8d58-4d9f-8607-a619ea6003e7.unifi-hosting.ui.com,443,https://002afddc-8d58-4d9f-8607-a619ea6003e7.unifi-hosting.ui.com:443,https,text/html,GET,159.223.181.239,/,390404864,159.223.181.239,HSTS,1,False,,,,,,,,,,
003702af-3726-48e8-818e-75322b828af0.unifi-hosting.ui.com,UniFi OS,200,595,003702af-3726-48e8-818e-75322b828af0.unifi-hosting.ui.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-31T10:41:29Z,2023-06-29T10:41:28Z,CN=003702af-3726-48e8-818e-75322b828af0.unifi-hosting.ui.com,003702af-3726-48e8-818e-75322b828af0.unifi-hosting.ui.com,003702af-3726-48e8-818e-75322b828af0.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,93cc9032641f54a7cd4635eb6f69386c,dea4b233a42f3d8945c1abb3242602359b2522195796a7cdd59a80306aef54a1,ctls,003702af-3726-48e8-818e-75322b828af0.unifi-hosting.ui.com,443,https://003702af-3726-48e8-818e-75322b828af0.unifi-hosting.ui.com:443,https,text/html,GET,159.203.92.18,/,-1261685053,159.203.92.18,HSTS,1,False,,,,,,,,,,
007b1b3c-fe17-4407-bc53-5989c651cdf1.unifi-hosting.ui.com,UniFi OS,200,595,007b1b3c-fe17-4407-bc53-5989c651cdf1.unifi-hosting.ui.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-20T19:21:03Z,2023-06-18T19:21:02Z,CN=007b1b3c-fe17-4407-bc53-5989c651cdf1.unifi-hosting.ui.com,007b1b3c-fe17-4407-bc53-5989c651cdf1.unifi-hosting.ui.com,007b1b3c-fe17-4407-bc53-5989c651cdf1.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afbaac94e0aba890d922fd2a567d3cad,59250297609d90a2dbe153bc083c46d6c257cfb456e436d6595e788482bd2767,ctls,007b1b3c-fe17-4407-bc53-5989c651cdf1.unifi-hosting.ui.com,443,https://007b1b3c-fe17-4407-bc53-5989c651cdf1.unifi-hosting.ui.com:443,https,text/html,GET,146.190.130.174,/,-1261685053,146.190.130.174,HSTS,1,False,,,,,,,,,,
0099f1fd-8718-4fb7-b7d7-1416bdbc3891.unifi-hosting.ui.com,UniFi OS,200,595,0099f1fd-8718-4fb7-b7d7-1416bdbc3891.unifi-hosting.ui.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-10T07:16:36Z,2023-08-08T07:16:35Z,CN=0099f1fd-8718-4fb7-b7d7-1416bdbc3891.unifi-hosting.ui.com,0099f1fd-8718-4fb7-b7d7-1416bdbc3891.unifi-hosting.ui.com,0099f1fd-8718-4fb7-b7d7-1416bdbc3891.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1a5b5d6d0ba047144601748deed914a4,c45c20e00619bce6efab8aa057a91fede9ae84b8a7a6a8dd9d304ac98e17fd06,ctls,0099f1fd-8718-4fb7-b7d7-1416bdbc3891.unifi-hosting.ui.com,443,https://0099f1fd-8718-4fb7-b7d7-1416bdbc3891.unifi-hosting.ui.com:443,https,text/html,GET,159.203.124.228,/,-1261685053,159.203.124.228,HSTS,1,False,,,,,,,,,,
009bb9e2-79c9-445c-9cc7-e84b29387801.unifi-hosting.ui.com,UniFi OS,200,595,009bb9e2-79c9-445c-9cc7-e84b29387801.unifi-hosting.ui.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-30T07:14:07Z,2023-06-28T07:14:06Z,CN=009bb9e2-79c9-445c-9cc7-e84b29387801.unifi-hosting.ui.com,009bb9e2-79c9-445c-9cc7-e84b29387801.unifi-hosting.ui.com,009bb9e2-79c9-445c-9cc7-e84b29387801.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0f8337f38d1f153ea2bc7e6abb0f29fe,5df9c75768f70fc5bd17e5211a1783bc163290cf2d983fd9a0501ea39c76a691,ctls,009bb9e2-79c9-445c-9cc7-e84b29387801.unifi-hosting.ui.com,443,https://009bb9e2-79c9-445c-9cc7-e84b29387801.unifi-hosting.ui.com:443,https,text/html,GET,134.209.170.142,/,-1261685053,134.209.170.142,HSTS,1,False,,,,,,,,,,
02051f25-989f-4d39-821f-bf32b1323f40.unifi-hosting.ui.com,UniFi OS,200,595,02051f25-989f-4d39-821f-bf32b1323f40.unifi-hosting.ui.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-01T04:29:29Z,2023-06-30T04:29:28Z,CN=02051f25-989f-4d39-821f-bf32b1323f40.unifi-hosting.ui.com,02051f25-989f-4d39-821f-bf32b1323f40.unifi-hosting.ui.com,02051f25-989f-4d39-821f-bf32b1323f40.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,684cab286dba5fd61196e534193e973f,a6b10d7d1139d8a08aa153b32afd247feb92fb18f4c882f098dd20ecffec3f0a,ctls,02051f25-989f-4d39-821f-bf32b1323f40.unifi-hosting.ui.com,443,https://02051f25-989f-4d39-821f-bf32b1323f40.unifi-hosting.ui.com:443,https,text/html,GET,167.71.180.120,/,-1261685053,167.71.180.120,HSTS,1,False,,,,,,,,,,
028fc748-3a3e-4922-ac03-abd792ce02a6.unifi-hosting.ui.com,UniFi OS,200,484,028fc748-3a3e-4922-ac03-abd792ce02a6.unifi-hosting.ui.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T15:19:34Z,2023-08-01T15:19:33Z,CN=028fc748-3a3e-4922-ac03-abd792ce02a6.unifi-hosting.ui.com,028fc748-3a3e-4922-ac03-abd792ce02a6.unifi-hosting.ui.com,028fc748-3a3e-4922-ac03-abd792ce02a6.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7e7aa5766b98a6eae328a71e3574f741,71c4f577a7058a9def2ede906b00cea864342fd5b03b3f84224f7d7065d4d408,ctls,028fc748-3a3e-4922-ac03-abd792ce02a6.unifi-hosting.ui.com,443,https://028fc748-3a3e-4922-ac03-abd792ce02a6.unifi-hosting.ui.com:443,https,text/html,GET,159.223.109.80,/,390404864,159.223.109.80,HSTS,1,False,,,,,,,,,,
035dbd54-8ef9-4c83-b29d-11ea20b79131.unifi-hosting.ui.com,UniFi OS,200,484,035dbd54-8ef9-4c83-b29d-11ea20b79131.unifi-hosting.ui.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T04:40:05Z,2023-07-28T04:40:04Z,CN=035dbd54-8ef9-4c83-b29d-11ea20b79131.unifi-hosting.ui.com,035dbd54-8ef9-4c83-b29d-11ea20b79131.unifi-hosting.ui.com,035dbd54-8ef9-4c83-b29d-11ea20b79131.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f5998c0cf0adf540aebb1fe46e43a0f2,4bee500331d1877e3b9e5586b25cb296ca5803fd427bc9dd6ff737c5424ebae9,ctls,035dbd54-8ef9-4c83-b29d-11ea20b79131.unifi-hosting.ui.com,443,https://035dbd54-8ef9-4c83-b29d-11ea20b79131.unifi-hosting.ui.com:443,https,text/html,GET,134.122.114.130,/,390404864,134.122.114.130,HSTS,1,False,,,,,,,,,,
