input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,cdn_name,cdn,final_url
2433248g48.underarmour.co.uk,Under Armour,410,417807,AS397223,ULTRADNS,US,204.74.99.0/24,https://studio.first.sandbox.ua.coremedia.cloud,www.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-02-14T23:59:59Z,"CN=www.underarmour.com, O=Under Armour\, Inc., L=Baltimore, ST=Maryland, C=US, serialNumber=D04444345, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US",www.underarmour.com,www.underarmour.ca,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,20150c72bc040ad0d612b777747786ab,120d7c57cd54d518f49c25170bd0b07c7a2daccc0cd224a57dab782d96383871,ctls,www.underarmour.com,80,http://2433248g48.underarmour.co.uk:80,http,cloudflare,text/html,GET,204.74.99.103,/,27772404,204.74.99.103,Varnish,5941,False,,"Under Armour, Inc.",,,,https://www.underarmour.com/shop/uk/en/
abby.myfitnesspal.com,MyFitnessPal X Abby Pollock,200,38501,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,abby.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T04:03:33Z,2023-08-08T04:03:32Z,CN=abby.myfitnesspal.com,abby.myfitnesspal.com,abby.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5839db6055a10779f1621c0f873bd0e6,358facb9c6f8aabd56b423ff5a231c153e1d2dc1b801ce37b633451f47f8109d,ctls,abby.myfitnesspal.com,443,https://abby.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.27.189,/,-1468854848,2606:4700::6812:1bbd,YouTube,496,False,,,,cloudflare,True,
about.mapmyfitness.com,ERROR: The request could not be satisfied,403,915,AS0,Not routed,None,13.224.192.0/21,,,,,,,,,,,,,,,,,,,80,http://about.mapmyfitness.com:80,http,CloudFront,text/html,GET,13.224.189.31,/,-825670119,13.224.189.41,Amazon Web Services,20,False,,,,cloudfront,True,
about.underarmour.com,Home,200,71151,AS54113,FASTLY,US,146.75.112.0/21,,about.underarmour.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=about.underarmour.com, O=Under Armour\, Inc., L=Baltimore, ST=Maryland, C=US",about.underarmour.com,about.underarmour.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1a343816265ca8f00125b1f898232e09,0f89d6401029b455f0ca5620f2ab51606e02e4d8916eaa2cdfba3551670e2a76,ctls,about.underarmour.com,443,https://about.underarmour.com:443,https,,text/html,GET,146.75.119.10,/,-822484772,146.75.119.10,Java,1198,False,,"Under Armour, Inc.",,fastly,True,
account.myfitnesspal.com,Calorie Tracker & BMR Calculator to Reach Your Goals | MyFitnessPal,200,567208,AS14618,AMAZON-AES,US,54.208.0.0/14,https://csp-report.browser-intake-datadoghq.com/api/v2/logs?dd-api-key=pub6bacd8a3d2ff4a25d741e639b3320206&dd-evp-origin=content-security-policy&ddsource=csp-report&ddtags=env:nutrition-prod,account.myfitnesspal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-08T08:47:07Z,2023-08-06T08:47:06Z,CN=*.external.us.mfp.dev,*.external.us.mfp.dev,*.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cbcbd062acc3f7da4724b9febb32acba,6f4cab5e99475faea6b245d98b87646eb77f906e5cc71ac84854b00107905ede,ctls,account.myfitnesspal.com,443,https://account.myfitnesspal.com:443,https,,text/html,GET,54.211.107.175,/,33983877,107.23.100.216,HSTS,1,False,True,,True,,,
account.underarmour.com,Under Armour - Account and Privacy Center,200,12982,AS16509,AMAZON-02,US,18.66.116.0/23,,account.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T00:00:00Z,2024-01-23T23:59:59Z,CN=account.underarmour.com,account.underarmour.com,account.underarmour.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,179d92d4f202110dacc21de82fcd545c,695471d74ec08479a14266e821b4898ce8065477341fb87c7ba929325b3a64b6,ctls,account.underarmour.com,443,https://account.underarmour.com:443,https,,text/html,GET,18.66.112.68,/,721059965,18.66.112.115,Node.js,1,False,,,,cloudfront,True,
acp.myfitnesspal.com,Origin DNS error | acp.myfitnesspal.com | Cloudflare,530,6213,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,,,,,,,,,,,,,,,,,,80,http://acp.myfitnesspal.com:80,http,cloudflare,text/html,GET,104.18.27.189,/,966560509,2606:4700::6812:1abd,Cloudflare,93,False,,,,cloudflare,True,
activesync.underarmour.com,,401,,AS32525,UNDER-ARMOUR-PERFORMANCE-APPAREL,US,204.29.196.0/23,,outlook.office.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-26T00:00:00Z,2023-07-25T23:59:59Z,"CN=outlook.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",outlook.com,substrate-sdf.office.com,"CN=DigiCert Cloud Services CA-1, O=DigiCert Inc, C=US",DigiCert Cloud Services CA-1,DigiCert Inc,990cfeef9a6e727f2312d3e4103726ce,d841795beb73bb7c9e78a3713e3af6e1a506e86a00b95235a0e45304acc6b69f,ctls,outlook.office.com,80,http://activesync.underarmour.com:80,http,Microsoft-IIS/10.0,,GET,204.29.196.96,/,-1840324437,204.29.196.96,Windows Server,1,False,True,Microsoft Corporation,True,,,https://outlook.office.com/Microsoft-Server-ActiveSync
advice.myfitnesspal.com,MyFitnessPal x Unsolicited Advice Podcast,200,38550,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,advice.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T02:15:19Z,2023-08-08T02:15:18Z,CN=advice.myfitnesspal.com,advice.myfitnesspal.com,advice.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cd549cbe40103b69bb35e9e24b1605be,f56a86da8718e3c46d12aed9a51d2f3d073bc6a11d3b1cc9f0233ae15ca21799,ctls,advice.myfitnesspal.com,443,https://advice.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.26.189,/,-1468854848,2606:4700::6812:1abd,YouTube,496,False,,,,cloudflare,True,
affiliateprogram.myfitnesspal.com,Affiliate Partners,200,105363,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,affiliateprogram.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T07:09:44Z,2023-06-11T07:09:43Z,CN=affiliateprogram.myfitnesspal.com,affiliateprogram.myfitnesspal.com,affiliateprogram.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,60c303bc9c851d75e7819444fa501618,202e734185bd39daf4d3ea1a9dd6906a93e32b59e3471737ffee60bb6be4d76b,ctls,affiliateprogram.myfitnesspal.com,443,https://affiliateprogram.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.26.189,/,-1468854848,2606:4700::6812:1bbd,HSTS,1105,False,,,,cloudflare,True,
