input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,csp_domains_,tls_subject_org_,tls_mismatched,tls_expired
0-0-controller-staging-api-whaleemea-ios.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,132011,0-0-controller-staging-api-whaleemea-ios.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,0-0-controller-staging-api-whaleemea-ios.standvirtual.com,cloudfront,443,https://0-0-controller-staging-api-whaleemea-ios.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.110,/,-1293678603,https://0-0-controller-staging-api-whaleemea-ios.standvirtual.com/inventory,18.66.97.92,React,29,False,True,,,,
0-domain.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,185744,0-domain.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,0-domain.standvirtual.com,cloudfront,443,https://0-domain.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.110,/,-1880590046,https://0-domain.standvirtual.com/inventory,18.66.97.92,React,29,False,True,,,,
00bytzbd1ssp-7.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,131986,00bytzbd1ssp-7.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,00bytzbd1ssp-7.standvirtual.com,cloudfront,443,https://00bytzbd1ssp-7.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.62,/,448901906,https://00bytzbd1ssp-7.standvirtual.com/inventory,18.66.97.92,React,29,False,True,,,,
031k8zz8.standvirtual.com,429 Too Many Requests,429,175,031k8zz8.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,031k8zz8.standvirtual.com,cloudfront,443,https://031k8zz8.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.110,/,-9188708,https://031k8zz8.standvirtual.com/inventory,18.66.97.92,OpenResty:1.21.4.1,8,False,True,,,,
09x.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,131975,09x.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,09x.standvirtual.com,cloudfront,443,https://09x.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.7,/,-34893279,https://09x.standvirtual.com/inventory,18.66.97.110,React,29,False,True,,,,
0fwww93.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,131979,0fwww93.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,0fwww93.standvirtual.com,cloudfront,443,https://0fwww93.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.7,/,-1232667391,https://0fwww93.standvirtual.com/inventory,18.66.97.92,React,29,False,True,,,,
100calls.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,131980,100calls.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,100calls.standvirtual.com,cloudfront,443,https://100calls.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.62,/,-847985954,https://100calls.standvirtual.com/inventory,18.66.97.92,React,29,False,True,,,,
1058807.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,131978,1058807.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,1058807.standvirtual.com,cloudfront,443,https://1058807.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.92,/,88735064,https://1058807.standvirtual.com/inventory,18.66.97.110,React,29,False,True,,,,
1084382.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,131978,1084382.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,1084382.standvirtual.com,cloudfront,443,https://1084382.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.62,/,-1810090278,https://1084382.standvirtual.com/inventory,18.66.97.92,React,29,False,True,,,,
11192521403954.standvirtual.com,429 Too Many Requests,429,577,11192521403954.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,11192521403954.standvirtual.com,cloudfront,443,https://11192521403954.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.7,/,678578532,https://11192521403954.standvirtual.com/inventory,18.66.97.92,OpenResty:1.21.4.1,14,False,True,,,,
