new,host,a,cname,mx,soa,txt,status_code,cdn,cdn-name,caa
[x],ascent.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,accounts.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,api-campaigns.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,api-openbanking-sandbox.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,api-sandbox.uphold.com,"104.16.80.80, 104.16.79.80",,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,
,api.uphold.com,"104.16.79.80, 104.16.80.80",,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,
,attachment.uphold.com,"50.17.138.142, 18.205.90.45",attachment.uphold.com.ss-domain.com,,"ns-1114.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,
,autodiscover.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,bank-gateway.webhooks.sandbox.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,bank-gateway.webhooks.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,beta-sandbox.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,beta.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,blog.uphold.com,"104.16.80.80, 104.16.79.80",,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,
,cdn.uphold.com,"104.16.79.80, 104.16.80.80",,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,
,cms.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,e.uphold.com,"104.16.80.80, 104.16.79.80",,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,
,email-unboxed.uphold.com,"104.16.79.80, 104.16.80.80",,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,
,etracking.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,gateway.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,help.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,ilp-gateway-sandbox.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,ilp-sandbox.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,intranet.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,join.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,leaderboard.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,lyncdiscover.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,mail10.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,mail15.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,mugwumpsbears.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,mx1.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,openbanking-sandbox.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
,openbanking.uphold.com,,,,"rose.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,
