new,host,a,cname,soa,status_code,caa,mx,ns,txt,has_internal_ips,internal_ips,aaaa,cdn,cdn-name
[x],0-b5dwgb.h.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],0.0.4.2.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],0.0.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],0.1.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],0.b.c.0.0.4.2.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],0.ecs-lb.breadcrumb.com,,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"ns-1430.awsdns-50.org, ns-1538.awsdns-00.co.uk, ns-154.awsdns-19.com, ns-541.awsdns-03.net",,,,,,
[x],0.js.al.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],0.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],00000.upserve.com,,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],007tiqiuwang.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],01.ecs-lb.breadcrumb.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],010.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],016.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],018e64b5c92845b0bc152a3caa2debfc.js.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],019.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],02.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],020.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],022.upserve.com,,,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],02903855-664-3887www.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
