input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,final_url,a_,tech_,lines,failed,cdn_name,favicon,cdn,csp_domains_,tls_mismatched
*.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,443,https://doubleclick.net:443,https,sffe,text/html,GET,142.250.186.110,/,https://marketingplatform.google.com/about/enterprise/,2a00:1450:4001:800::200e,HTTP/3,2179,False,,708578229,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,
*.fontawesome.com,Font Awesome,200,5458,fontawesome.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-22T00:00:00Z,2023-12-23T23:59:59Z,"CN=*.fontawesome.com, O=Fonticons Inc, L=Bentonville, ST=Arkansas, C=US",*.fontawesome.com,Fonticons Inc,fontawesome.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a313f1642dc4e5373a91111c094738cf,f672032cd096e11ebdad77147482cebb408841fcd2f9162b9334738f844ffc82,True,ctls,fontawesome.com,443,https://fontawesome.com:443,https,cloudflare,text/html,GET,104.18.23.52,/,,104.18.23.52,HSTS,124,False,cloudflare,1959603703,True,,
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,True,ctls,googletagmanager.com,443,https://googletagmanager.com:443,https,Google Tag Manager,text/html,GET,142.250.186.104,/,,2a00:1450:4001:831::2008,HTTP/3,12,False,,302920777,,,
0-b5dwgb.h.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227091,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://0-b5dwgb.h.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2988,False,,1071976413,,http://*.outbrain.com,
0.0.4.2.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227091,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://0.0.4.2.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2988,False,,-2095248608,,http://*.google-analytics.com,
0.0.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227582,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://0.0.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2994,False,,1635805852,,http://*.hs-scripts.com,
0.1.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227582,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://0.1.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2994,False,,-1166553218,,*.doubleclick.net,
0.b.c.0.0.4.2.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227604,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://0.b.c.0.0.4.2.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2994,False,,-1194006977,,https://*.intercomcdn.com,
0.ecs-lb.breadcrumb.com,Restaurant POS System | Lightspeed Point of Sale Software,200,315454,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://0.ecs-lb.breadcrumb.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/pos/restaurant/,34.231.80.4,WordPress,4416,False,,-248628654,,,
0.js.al.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227083,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://0.js.al.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2988,False,,-1822053833,,http://*.outbrain.com,
0.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227091,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://0.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2988,False,,235772656,,http://*.google-analytics.com,
