new,host,a,cname,soa,status_code,cdn,cdn-name,mx,ns,txt,caa,aaaa,has_internal_ips,internal_ips
[x],13501.builds.wealthsimple.com,"54.164.107.211, 35.169.89.129",,"ns-1489.awsdns-58.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],14636sasg-faq-www.builds.wealthsimple.com,"35.169.89.129, 54.164.107.211",,"ns-1489.awsdns-58.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],acc.builds.wealthsimple.com,"54.164.107.211, 35.169.89.129",,"ns-1489.awsdns-58.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],administrator.builds.wealthsimple.com,"35.169.89.129, 54.164.107.211",,"ns-1489.awsdns-58.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],advisor.wealthsimple.com,"104.18.19.16, 104.18.18.16",advisor.wealthsimple.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],aide-staging.simpletax.ca,"15.156.123.30, 99.79.116.7",,"ns-1616.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],airflow-staging.wealthsimple.com,"104.18.18.16, 104.18.19.16",airflow-staging.wealthsimple.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],airflow.builds.wealthsimple.com,"35.169.89.129, 54.164.107.211",,"ns-1489.awsdns-58.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1013.awsdns-62.net, ns-1489.awsdns-58.org, ns-1799.awsdns-32.co.uk, ns-390.awsdns-48.com",,,,,
[x],airflow.wealthsimple.com,"104.18.19.16, 104.18.18.16",airflow.wealthsimple.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],api-legacy.wealthsimple.com,"104.18.18.16, 104.18.19.16",api-legacy.wealthsimple.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],api-staging-legacy.wealthsimple.com,"104.18.18.16, 104.18.19.16",api-staging-legacy.wealthsimple.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],api-staging.builds.wealthsimple.com,"54.164.107.211, 35.169.89.129",,"ns-1489.awsdns-58.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
