new,host,soa,status_code,a,aaaa,cdn,cdn-name,txt,has_internal_ips,internal_ips,cname,ns,mx,caa
[x],supportbeta.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,129.253.55.100,,,,,,,,,,
,a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,"205.251.192.161, 205.251.195.240, 205.251.197.38, 205.251.198.12",,,,,,,,"ns-1548.awsdns-01.co.uk, ns-1008.awsdns-62.net, ns-161.awsdns-20.com, ns-1318.awsdns-36.org",,
,access.mirrorit.westerndigital.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"52.70.31.141, 54.227.33.71, 52.3.26.98",,,,,,,"access.mirrorit.io, ed-nv-prd-web-alb-func-682484526.us-east-1.elb.amazonaws.com",,,
,aem-dev.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-aws.sandisk.com,,,
,aem-stage.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"34.208.84.145, 54.148.210.29",,,,,,,sanakamai-aws.sandisk.com,,,
,aem.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"34.208.84.145, 54.148.210.29",,,,,,,sanakamai-aws.sandisk.com,,,
,apac-hackathon.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,,,,,,,,sanakamai-aws.sandisk.com,,,
,api-dev.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-aws.sandisk.com,,,
,api.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.6.68, 104.20.7.68","2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,,,
,auth-test.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.7.68, 104.20.6.68","2606:4700:10::6814:744, 2606:4700:10::6814:644",True,cloudflare,,,,,,,
,auth0.accounts.westerndigital.com,"kolton.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.103.2, 104.18.102.2","2606:4700::6812:6702, 2606:4700::6812:6602",True,cloudflare,,,,wdc-cd-hxmodpg5g8lpz3yc.edge.tenants.auth0.com,,,"digicert.com, letsencrypt.org"
,blog-cm.westerndigital.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,,blog-cm.westerndigital.com.cdn.cloudflare.net,,,
,blog.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.7.68, 104.20.6.68","2606:4700:10::6814:744, 2606:4700:10::6814:644",True,cloudflare,v=spf1 -all,,,,,,
,blog.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,23.185.0.4,"2620:12a:8000::4, 2620:12a:8001::4",,,,,,,,,
,bounce.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,192.28.152.174,,,,v=spf1 include:mktomail.com -all,,,,,bounce.bugcrowd.com,
,careers.westerndigital.com,"dns-external-master.amazon.com, root.amazon.com",NOERROR,35.167.237.18,,,,,,,"redirect.wdc.com, ec2-35-167-237-18.us-west-2.compute.amazonaws.com",,,
,cmat.dev.westerndigital.com,"ns-696.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,"143.204.89.84, 143.204.89.128, 143.204.89.124, 143.204.89.92","2600:9000:2156:3600:b:34da:2980:93a1, 2600:9000:2156:8a00:b:34da:2980:93a1, 2600:9000:2156:f600:b:34da:2980:93a1, 2600:9000:2156:ea00:b:34da:2980:93a1, 2600:9000:2156:f400:b:34da:2980:93a1, 2600:9000:2156:b400:b:34da:2980:93a1, 2600:9000:2156:a00:b:34da:2980:93a1, 2600:9000:2156:5600:b:34da:2980:93a1",True,cloudfront,,,,d2ze1ptisvuc9y.cloudfront.net,"ns-696.awsdns-23.net, ns-1743.awsdns-25.co.uk, ns-1061.awsdns-04.org, ns-33.awsdns-04.com",,
,cmat.stage.westerndigital.com,"ns-1524.awsdns-62.org, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.18, 13.225.78.114, 13.225.78.103, 13.225.78.110","2600:9000:20fc:9a00:3:2d3d:2880:93a1, 2600:9000:20fc:1800:3:2d3d:2880:93a1, 2600:9000:20fc:8600:3:2d3d:2880:93a1, 2600:9000:20fc:ac00:3:2d3d:2880:93a1, 2600:9000:20fc:4000:3:2d3d:2880:93a1, 2600:9000:20fc:2c00:3:2d3d:2880:93a1, 2600:9000:20fc:f000:3:2d3d:2880:93a1, 2600:9000:20fc:c000:3:2d3d:2880:93a1",True,cloudfront,,,,d3bb2y5qb9mzz6.cloudfront.net,,,
,cmat.webapi.stage.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,129.253.14.63,,,,,,,,,,
,cmat.webapi.westerndigital.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"10.226.68.9, 10.226.77.43",,,,,True,"10.226.68.9, 10.226.77.43",awseb-awseb-num056kqskvu-fed0301da7d94a89.elb.us-west-2.amazonaws.com,"ns-1283.awsdns-32.org, ns-1870.awsdns-41.co.uk, ns-424.awsdns-53.com, ns-748.awsdns-29.net",,
,cmat.westerndigital.com,"ns-314.awsdns-39.com, awsdns-hostmaster.amazon.com",NOERROR,"13.32.27.88, 13.32.27.108, 13.32.27.87, 13.32.27.122","2600:9000:211e:1000:1f:c865:90c0:93a1, 2600:9000:211e:5a00:1f:c865:90c0:93a1, 2600:9000:211e:7600:1f:c865:90c0:93a1, 2600:9000:211e:fc00:1f:c865:90c0:93a1, 2600:9000:211e:6000:1f:c865:90c0:93a1, 2600:9000:211e:b400:1f:c865:90c0:93a1, 2600:9000:211e:6a00:1f:c865:90c0:93a1, 2600:9000:211e:400:1f:c865:90c0:93a1",True,cloudfront,,,,d3e04qraqsjl8j.cloudfront.net,"ns-314.awsdns-39.com, ns-2026.awsdns-61.co.uk, ns-564.awsdns-06.net, ns-1193.awsdns-21.org",,
,collateral.bugcrowd.com,"ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,"54.204.178.190, 54.82.94.141, 52.1.10.65",,,,,,,"bugcrowd.outrch.com, 00af771c-feb9-4bff-948e-6330135be8ae.outrch.com, app2a.outrch.com",,,letsencrypt.org
,commerce-qa.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-aws.sandisk.com,,,
,commerce-uat.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-aws.sandisk.com,,,
,commerce.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"34.208.84.145, 54.148.210.29",,,,,,,sanakamai-aws.sandisk.com,,,
,community.wd.com,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,184.105.99.75,2602:fd3f:3:ff02::4b,,,,,,wd.hosted-by-discourse.com,,mx-corp1.discoursemail.com,letsencrypt.org
,crowdmatch.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,"35.174.246.227, 3.208.108.238",,,,,,,,,,
,datamakespossible.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-aws.sandisk.com,,,
,dcs.westerndigital.com,"bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.73.206, 104.17.70.206, 104.17.72.206, 104.17.71.206, 104.17.74.206",,True,cloudflare,,,,"tegilesystems.mktoweb.com, sj05.mktossl.com",,,
,deploy.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,216.23.170.42,,,,,,,,,,
,dev-auth0.accounts.westerndigital.com,"kolton.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.102.2, 104.18.103.2","2606:4700::6812:6702, 2606:4700::6812:6602",True,cloudflare,,,,wdc-dev1-cd-davyqmlj4e16icfe.edge.tenants.auth0.com,,,"letsencrypt.org, digicert.com"
,developer.westerndigital.com,"n0g.akamaiedge.net, hostmaster.akamai.com",NOERROR,104.102.22.155,,,,,,,"studio.sandisk.com.edgekey.net, e2650.g.akamaiedge.net",,,
,docs.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.6.68, 104.20.7.68","2606:4700:10::6814:744, 2606:4700:10::6814:644",True,cloudflare,v=spf1 -all,,,,,,
,documents.westerndigital.com,"n0g.akamaiedge.net, hostmaster.akamai.com",NOERROR,104.87.186.116,,,,,,,"studio.sandisk.com.edgekey.net, e2650.g.akamaiedge.net",,,
,email.assetinventory.bugcrowd.com,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,34.102.239.211,,True,google,"google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, 8f7088gv5932jxw9lwwd1b6ttx2pw2ds",,,mailgun.org,"ns-586.awsdns-09.net, ns-133.awsdns-16.com, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk","mxb.mailgun.org, mxa.mailgun.org","digicert.com, letsencrypt.org, ;"
,email.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,email.bugs.bugcrowd.com,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,34.102.239.211,,True,google,"8f7088gv5932jxw9lwwd1b6ttx2pw2ds, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA",,,mailgun.org,"ns-133.awsdns-16.com, ns-586.awsdns-09.net, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk","mxa.mailgun.org, mxb.mailgun.org","digicert.com, letsencrypt.org, ;"
,email.crowdcontrol.bugcrowd.com,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,34.110.180.34,,True,google,"8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all",,,mailgun.org,"ns-133.awsdns-16.com, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-586.awsdns-09.net","mxa.mailgun.org, mxb.mailgun.org","digicert.com, letsencrypt.org, ;"
