new,host,a,aaaa,soa,status_code,cdn,cdn-name,caa,cname,ns,mx,txt
[x],api.whitebit.com,"104.19.133.72, 104.19.136.72, 104.19.137.72, 104.19.134.72, 104.19.135.72","2606:4700:1::6813:8548, 2606:4700:1::6813:8648, 2606:4700:1::6813:8748, 2606:4700:1::6813:8848, 2606:4700:1::6813:8948","sharon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],assalamaleykum.whitebit.com,,,"sharon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],bff.whitebit.com,"104.19.136.72, 104.19.137.72, 104.19.133.72, 104.19.134.72, 104.19.135.72","2606:4700:1::6813:8548, 2606:4700:1::6813:8748, 2606:4700:1::6813:8948, 2606:4700:1::6813:8648, 2606:4700:1::6813:8848","sharon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],cdn.whitebit.com,"143.204.89.112, 143.204.89.37, 143.204.89.49, 143.204.89.73","2600:9000:2156:e600:5:95f6:1cc0:93a1, 2600:9000:2156:8200:5:95f6:1cc0:93a1, 2600:9000:2156:6a00:5:95f6:1cc0:93a1, 2600:9000:2156:4200:5:95f6:1cc0:93a1, 2600:9000:2156:b800:5:95f6:1cc0:93a1, 2600:9000:2156:4e00:5:95f6:1cc0:93a1, 2600:9000:2156:f600:5:95f6:1cc0:93a1, 2600:9000:2156:3600:5:95f6:1cc0:93a1","ns-1645.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,d3bee11d7gy1kj.cloudfront.net,"ns-432.awsdns-54.com, ns-670.awsdns-19.net, ns-1352.awsdns-41.org, ns-1645.awsdns-13.co.uk",,
[x],checkout.whitebit.com,"104.19.136.72, 104.19.137.72, 104.19.134.72, 104.19.135.72, 104.19.133.72","2606:4700:1::6813:8848, 2606:4700:1::6813:8748, 2606:4700:1::6813:8948, 2606:4700:1::6813:8648, 2606:4700:1::6813:8548","sharon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],device.whitebit.com,"104.19.134.72, 104.19.136.72, 104.19.137.72, 104.19.135.72, 104.19.133.72","2606:4700:1::6813:8548, 2606:4700:1::6813:8748, 2606:4700:1::6813:8848, 2606:4700:1::6813:8948, 2606:4700:1::6813:8648","sharon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],docs.whitebit.com,,,"sharon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],help.whitebit.com,"104.16.51.111, 104.16.53.111",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,whitebitsupport.zendesk.com,,mail-pod-29.int.zendesk.com,"v=spf1 include:mail.zendesk.com ~all, pod=29"
[x],info.whitebit.com,,,"sharon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],internal.whitebit.com,"104.19.134.72, 104.19.135.72, 104.19.136.72, 104.19.137.72, 104.19.133.72","2606:4700:1::6813:8648, 2606:4700:1::6813:8748, 2606:4700:1::6813:8848, 2606:4700:1::6813:8948, 2606:4700:1::6813:8548","sharon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],news.whitebit.com,,,"sharon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],payment.whitebit.com,"104.19.136.72, 104.19.134.72, 104.19.133.72, 104.19.137.72, 104.19.135.72","2606:4700:1::6813:8948, 2606:4700:1::6813:8748, 2606:4700:1::6813:8648, 2606:4700:1::6813:8548, 2606:4700:1::6813:8848","sharon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,amazon.com,,,,
