new,host,a,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,caa,aaaa
[x],1pw-scim.transferwise.com,3.73.95.147,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,prod-ut-fra-scim-1-zjbv4inj-8ba6e1fb98ce8969.elb.eu-central-1.amazonaws.com,,,,,
[x],ablink.feedback.transferwise.com,"104.18.167.45, 104.18.168.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],ablink.feedback.wise.com,"104.18.16.28, 104.18.17.28","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],ablink.info.transferwise.com,"104.18.168.45, 104.18.167.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],ablink.info.wise.com,"104.18.16.28, 104.18.17.28","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],abmail.feedback.transferwise.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u9405544.wl045.sendgrid.net,mx.sendgrid.net,,v=spf1 ip4:167.89.30.163 ip4:167.89.34.102 -all,,
[x],abmail.info.transferwise.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u9405544.wl045.sendgrid.net,mx.sendgrid.net,,v=spf1 ip4:167.89.30.163 ip4:167.89.34.102 -all,,
[x],abmail.info.wise.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u9405544.wl045.sendgrid.net,mx.sendgrid.net,,v=spf1 ip4:167.89.30.163 ip4:167.89.34.102 -all,,
[x],api-docs.transferwise.com,"104.18.167.45, 104.18.168.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],api-docs.wise.com,"104.18.17.28, 104.18.16.28","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],api.transferwise.com,"104.18.168.45, 104.18.167.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],api.wise.com,"104.18.16.28, 104.18.17.28","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],apisandbox.transferwise.com,54.144.128.85,,NOERROR,,,,,,,,
[x],au-cdrbanking-pub.wise.com,"188.114.98.229, 188.114.99.229","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],bol.transferwise.com,"18.195.149.184, 18.197.30.136, 52.29.232.62, 18.159.16.161, 3.64.48.126, 52.28.130.111","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bootstrap.transferwise.com,"185.199.109.153, 185.199.108.153, 185.199.111.153, 185.199.110.153","ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,transferwise.github.io,,"dns1.p05.nsone.net, dns2.p05.nsone.net, dns3.p05.nsone.net, dns4.p05.nsone.net, ns-1339.awsdns-39.org, ns-1622.awsdns-10.co.uk, ns-393.awsdns-49.com, ns-692.awsdns-22.net",,"digicert.com, letsencrypt.org","2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153"
[x],brand.transferwise.com,"198.185.159.145, 198.49.23.144, 198.49.23.145, 198.185.159.144","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],card-form.transferwise.com,"104.18.167.45, 104.18.168.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],cards-api.transferwise.com,"104.18.168.45, 104.18.167.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],document-store.transferwise.com,"52.85.150.225, 52.85.150.46, 52.85.150.173, 52.85.150.201, 205.251.193.176, 205.251.195.69, 205.251.196.118, 205.251.198.203","ns-1142.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d68dp5yf7qfb5.cloudfront.net,,"ns-837.awsdns-40.net, ns-1142.awsdns-14.org, ns-1739.awsdns-25.co.uk, ns-432.awsdns-54.com",,,
