new,host,a,aaaa,cname,soa,status_code,mx,txt,cdn,cdn-name,ns
[x],6eproxy.yatra.com,202.87.58.226,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],affiliates-api.yatra.com,88.221.63.144,"2a02:26f0:3500:88e::2d03, 2a02:26f0:3500:895::2d03","affiliates-api.yatra.com-v1.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],agent.yatra.com,202.87.58.10,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],agentadmin.yatra.com,"2.23.7.10, 2.23.7.33","2a02:26f0:1700:11::b856:6798, 2a02:26f0:1700:11::b856:6787","b2b.yatra.com.edgekey.net, e103826.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],apidev.yatra.com,203.189.91.50,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],b2b.yatra.com,"95.101.111.172, 95.101.111.169","2a02:26f0:480:d::210:f157, 2a02:26f0:480:d::210:f14a","b2b.yatra.com.edgekey.net, e103826.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],b2badmin.yatra.com,202.87.58.10,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],bankit.yatra.com,104.81.227.250,"2a02:26f0:d200:482::2d03, 2a02:26f0:d200:494::2d03","bankit.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],bsnl.yatra.com,104.126.226.237,"2a02:26f0:480:391::2d03, 2a02:26f0:480:38c::2d03","bsnl.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],cars.yatra.com,23.67.133.126,"2a02:26f0:3500:88e::2d03, 2a02:26f0:3500:895::2d03","cars.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],corptrav.yatra.com,88.221.63.144,"2a02:26f0:3500:895::2d03, 2a02:26f0:3500:88e::2d03","corptrav.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],css.yatra.com,23.222.48.174,,"www.yatra.com.edgekey.net, e11523.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],digimeet.yatra.com,13.235.207.39,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],easytravel.yatra.com,,"2a02:26f0:3100:38a::2d03, 2a02:26f0:3100:39d::2d03","easytravel.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],ebus.yatra.com,,,"www.yatra.com.edgekey.net, e11523.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],faka.yatra.com,23.210.121.143,"2a02:26f0:480:38c::2d03, 2a02:26f0:480:391::2d03","faka.yatra.com-v2.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],flight.yatra.com,104.102.41.107,,"www.yatra.com.edgekey.net, e11523.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],flightsapi.yatra.com,104.102.41.107,"2a02:26f0:3500:88e::2d03, 2a02:26f0:3500:895::2d03","flightsapi.yatra.com-v1.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],go.yatra.com,104.102.41.107,"2a02:26f0:480:5a2::2d03, 2a02:26f0:480:5ad::2d03","go.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],holidaypackages.yatra.com,104.81.227.250,"2a02:26f0:d200:494::2d03, 2a02:26f0:d200:482::2d03","holidaypackages.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],homestays.yatra.com,23.210.121.143,"2a02:26f0:480:38c::2d03, 2a02:26f0:480:391::2d03","homestays.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],hyades.yatra.com,104.81.227.250,"2a02:26f0:d200:482::2d03, 2a02:26f0:d200:494::2d03","hyades.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],imgcld.yatra.com,23.5.232.155,,"www.yatra.com.edgekey.net, e11523.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],investors.yatra.com,162.159.129.11,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,"alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx3.googlemail.com, aspmx2.googlemail.com, aspmx.l.google.com","v=spf1 include:_spf.q4press.com ~all, google-site-verification=c2Grrj2_XhpOVzzga7ZDpRU6kRNV-YoUXFxb9O2jFK0",True,cloudflare,
[x],ithelpdesk.yatra.com,34.93.177.46,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,True,google,
[x],jaldicash.yatra.com,104.103.244.248,"2a02:26f0:ee00:2a2::2d03, 2a02:26f0:ee00:28b::2d03","jaldicash.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],js.yatra.com,23.4.182.208,,"www.yatra.com.edgekey.net, e11523.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],lab.yatra.com,204.74.99.100,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],labs.yatra.com,23.53.53.202,"2001:2030:21:183::2d03, 2001:2030:21:1aa::2d03","labs.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],new-static.yatra.com,202.87.58.20,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],newvpn.yatra.com,"23.32.238.74, 23.32.238.57","2a02:26f0:3500:12::1730:1788, 2a02:26f0:3500:12::1730:17a5","newvpn.yatra.com.edgesuite.net, a1800.dscr.akamai.net","n0dscr.akamai.net, hostmaster.akamai.com",NOERROR,,,,,
[x],origin-api.yatra.com,202.87.58.226,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],origin-corptrav.yatra.com,202.87.58.226,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],origin-mobile.yatra.com,202.87.58.226,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],origin-secure.yatra.com,202.87.58.90,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],origin-www.yatra.com,202.87.58.20,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],oxigen.yatra.com,104.102.41.107,"2a02:26f0:480:5a2::2d03, 2a02:26f0:480:5ad::2d03","oxigen.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],packages.yatra.com,104.102.41.107,,"www.yatra.com.edgekey.net, e11523.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],partner-reporting.yatra.com,104.81.227.250,"2a02:26f0:d200:494::2d03, 2a02:26f0:d200:482::2d03","partner-reporting.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],partner.yatra.com,23.210.121.143,"2a02:26f0:480:38c::2d03, 2a02:26f0:480:391::2d03","partner.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],partners.yatra.com,23.67.133.126,"2a02:26f0:3500:895::2d03, 2a02:26f0:3500:88e::2d03","partners.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],pay.yatra.com,"96.16.54.152, 96.16.54.145","2a02:26f0:d8::685e:64b0, 2a02:26f0:d8::685e:64a9","pay.yatra.com.edgekey.net, e103826.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],paynearby.yatra.com,72.247.70.98,"2600:1408:9000:79d::2d03, 2600:1408:9000:788::2d03","paynearby.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],plex.yatra.com,202.87.58.172,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],privy.yatra.com,23.221.240.169,"2a02:26f0:c900:284::2d03, 2a02:26f0:c900:29b::2d03","privy.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
