new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,txt
[x],api-mobile.kite.trade,"104.16.4.81, 104.16.3.81","2606:4700::6810:351, 2606:4700::6810:451","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],api-uat.kite.trade,"104.18.14.39, 104.18.15.39",,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,zeronet.zerodha.net,
[x],api.kite.trade,"104.16.3.81, 104.16.4.81","2606:4700::6810:451, 2606:4700::6810:351","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],bo.zerodha.com,180.179.153.155,,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],bugbounty.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],careers.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:da0f, 2606:4700::6811:d90f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],cashier.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:da0f, 2606:4700::6811:d90f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],coin.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],console.zerodha.com,"104.17.217.15, 104.17.218.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],developers.kite.trade,"104.16.3.81, 104.16.4.81","2606:4700::6810:451, 2606:4700::6810:351","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],digilocker.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:da0f, 2606:4700::6811:d90f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],discuss.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],kite.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],kitecharts.zerodha.com,"104.17.217.15, 104.17.218.15","2606:4700::6811:da0f, 2606:4700::6811:d90f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],kitecharts3.zerodha.com,13.126.169.167,,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],m.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:da0f, 2606:4700::6811:d90f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
