new,host,a,soa,status_code,cname,mx,ns,caa,txt,cdn,cdn-name,aaaa
[x],35mmfilmscanner0.wiki.zoho.com,136.143.190.134,"ns1.zohocorp.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],42northdental.sdpondemand.manageengine.com,136.143.182.184,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],a-96-119-225-91.wiki.zoho.com,136.143.190.134,"ns1.zohocorp.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],abenwebinar.trainercentral.com,136.143.190.171,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],account.zoho.com,136.143.190.139,"ns1.zohocorp.com, dnsadmin.vtitan.com",NOERROR,zurs.zoho.com,,,,,,,
[x],accountaccept-backupconfig.seehere.trainercentral.com,136.143.190.171,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,"DNS1.P03.NSONE.NET, DNS2.P03.NSONE.NET, DNS3.P03.NSONE.NET, DNS4.P03.NSONE.NET, PDNS90.ULTRADNS.com, PDNS90.ULTRADNS.BIZ, PDNS90.ULTRADNS.ORG, NS1.ZOHOCORP.com",,,,,
[x],accounts.zoho.com,136.143.190.100,"ns1.zohocorp.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],accucoms.trainercentral.com,136.143.190.171,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,"DNS1.P03.NSONE.NET, DNS2.P03.NSONE.NET, DNS3.P03.NSONE.NET, DNS4.P03.NSONE.NET, PDNS90.ULTRADNS.com, PDNS90.ULTRADNS.BIZ, PDNS90.ULTRADNS.ORG, NS1.ZOHOCORP.com",,,,,
[x],adcommunity.manageengine.com,117.20.43.90,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],admin-old.zoho.com,,"ns1.zohocorp.com, dnsadmin.vtitan.com",NOERROR,zs-us4-lcinternal.zoho.com,,,,,,,
[x],admin.zoho.com,136.143.190.100,"ns1.zohocorp.com, dnsadmin.vtitan.com",NOERROR,accounts.zoho.com,,,,,,,
[x],adsolutions.manageengine.com,165.173.187.35,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],advisercrm.trainercentral.com,136.143.190.171,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],aedi-maestria-ibero.wiki.zoho.com,136.143.190.134,"ns1.zohocorp.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],aerosolalbuterol.wiki.zoho.com,136.143.190.134,"ns1.zohocorp.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],af.zoho.com,136.143.190.38,"ns1.zohocorp.com, dnsadmin.vtitan.com",NOERROR,zs-lc3-19.zoho.com,,,,,,,
[x],agappe.sdpondemand.manageengine.com,136.143.182.184,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],agentcrmtraining.trainercentral.com,136.143.190.171,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],agi.sdpondemand.manageengine.com,136.143.182.184,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,"PDNS90.ULTRADNS.com, PDNS90.ULTRADNS.NET, PDNS90.ULTRADNS.BIZ, PDNS90.ULTRADNS.ORG, DNS1.P03.NSONE.NET, DNS2.P03.NSONE.NET, DNS3.P03.NSONE.NET, DNS4.P03.NSONE.NET",,,,,
[x],alarm.manageengine.com,,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],alarmsone.manageengine.com,136.143.190.55,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],albuterolsulfate.wiki.zoho.com,136.143.190.134,"ns1.zohocorp.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],aldoussystems.trainercentral.com,136.143.190.171,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],alelocom.sdpondemand.manageengine.com,136.143.182.184,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
[x],alfresco-0101.wiki.zoho.com,136.143.190.134,"ns1.zohocorp.com, dnsadmin.vtitan.com",NOERROR,,,,,,,,
