input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,tech_,lines,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,tls_expired,cdn,tls_self_signed
0345concordia.vartopia.info,403 Forbidden,,561,80,http://0345concordia.vartopia.info:80,http,openresty/1.19.9.1,text/html,GET,209.17.116.163,OpenResty:1.19.9.1,14,,,,,,,,,,,,,,,,
090braintrust.wistia.com,Sign in to your Wistia account,,7159,443,https://090braintrust.wistia.com:443,https,,text/html,GET,54.227.158.38,HSTS,130,auth.wistia.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,CN=*.wistia.com,*.wistia.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,auth.wistia.com,,,
0ser0tim0.wistia.com,Sign in to your Wistia account,,7159,443,https://0ser0tim0.wistia.com:443,https,,text/html,GET,34.234.89.134,HSTS,130,auth.wistia.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,CN=*.wistia.com,*.wistia.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,auth.wistia.com,,,
100kpublishing.wistia.com,Sign in to your Wistia account,,7159,443,https://100kpublishing.wistia.com:443,https,,text/html,GET,54.158.204.170,HSTS,130,auth.wistia.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,CN=*.wistia.com,*.wistia.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,auth.wistia.com,,,
100percentorganicseo.wistia.com,Sign in to your Wistia account,,7159,443,https://100percentorganicseo.wistia.com:443,https,,text/html,GET,34.234.89.134,HSTS,130,auth.wistia.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,CN=*.wistia.com,*.wistia.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,auth.wistia.com,,,
108ideaspace-1.wistia.com,Sign in to your Wistia account,,7159,443,https://108ideaspace-1.wistia.com:443,https,,text/html,GET,34.200.91.151,HSTS,130,auth.wistia.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,CN=*.wistia.com,*.wistia.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,auth.wistia.com,,,
10tv.wistia.com,Sign in to your Wistia account,,7159,443,https://10tv.wistia.com:443,https,,text/html,GET,3.231.101.209,HSTS,130,auth.wistia.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,CN=*.wistia.com,*.wistia.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,auth.wistia.com,,,
10xgenomics.wistia.com,Sign in to your Wistia account,,7159,443,https://10xgenomics.wistia.com:443,https,,text/html,GET,34.234.89.134,HSTS,130,auth.wistia.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,CN=*.wistia.com,*.wistia.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,auth.wistia.com,,,
10xinvestments.wistia.com,Sign in to your Wistia account,,7159,443,https://10xinvestments.wistia.com:443,https,,text/html,GET,52.22.118.120,HSTS,130,auth.wistia.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,CN=*.wistia.com,*.wistia.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,auth.wistia.com,,,
10xpromotion.wistia.com,Sign in to your Wistia account,,7159,443,https://10xpromotion.wistia.com:443,https,,text/html,GET,34.234.89.134,HSTS,130,auth.wistia.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,CN=*.wistia.com,*.wistia.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,auth.wistia.com,,,
