input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,tech_,lines,failed,cdn,tls_wildcard_certificate,final_url,chain_status_codes_,csp_domains_,tls_mismatched
007.etoro.com,Just a moment...,403,6722,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://007.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,-1744198607,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
1.etoro.com,Just a moment...,403,6738,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://1.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,762300625,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
271596.genapicloud.comcandle.etoro.com,Just a moment...,403,6776,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://271596.genapicloud.comcandle.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,1471229636,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
271666.genapicloud.comcandle.etoro.com,Just a moment...,403,6916,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://271666.genapicloud.comcandle.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,439666289,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
2fcontent.etoro.com,Just a moment...,403,6877,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://2fcontent.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,2021347023,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
2fopenbook.etoro.com,Just a moment...,403,6871,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://2fopenbook.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,2055141296,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
2fwww.etoro.com,Just a moment...,403,6844,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://2fwww.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,963661555,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
2ww.etoro.com,Just a moment...,403,6799,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://2ww.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,1829224372,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
3dpages.etoro.com,Just a moment...,403,6879,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://3dpages.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,-2003491645,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
3ww.etoro.com,Just a moment...,403,6903,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://3ww.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,-1307538801,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
7ww.etoro.com,Just a moment...,403,6836,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://7ww.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,1175842541,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
aditlinux.commed.etoro.com,Just a moment...,403,6718,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://aditlinux.commed.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,-717981835,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
affiliates.etoro.com,eToro Partners,200,11598,por.etoro.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-26T00:00:00Z,2024-02-28T23:59:59Z,"CN=*.etoro.com, O=ETORO (EUROPE) LIMITED, L=Germasogeia, C=CY",*.etoro.com,ETORO (EUROPE) LIMITED,etoro.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6e30a843a353c468559e131d744074ae,fead97d4266706d28152f766e149169da6ccda8dc235ae8306f451134ba82db7,ctls,por.etoro.com,,443,https://affiliates.etoro.com:443,https,AmazonS3,text/html,GET,23.192.225.86,/,-1851491385,Amazon Web Services,59,False,,True,https://por.etoro.com/,200,,
agapechristianacademysc.commed.etoro.com,Just a moment...,403,6928,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://agapechristianacademysc.commed.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,74343255,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
aggregator.etoro.com,,404,,aggregator.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,aggregator.etoro.com,cloudflare,443,https://aggregator.etoro.com:443,https,cloudflare,,GET,172.64.152.107,/,-1840324437,HTTP/3,1,False,True,True,,,,
akcn.etoro.com,Just a moment...,403,6791,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://akcn.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,1630814899,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
alerts.etoro.com,Just a moment...,403,6895,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://alerts.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,459041941,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
amslawgrp.comwww.etoro.com,Just a moment...,403,6858,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://amslawgrp.comwww.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,247995613,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
analytics.dev.etoro.com,,404,127,analytics.dev.etoro.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-26T00:00:00Z,2024-02-26T23:59:59Z,"CN=*.dev.etoro.com, O=ETORO (EUROPE) LIMITED, L=Germasogeia, C=CY",*.dev.etoro.com,ETORO (EUROPE) LIMITED,dev.etoro.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9e3198354b6919eaa4807f5a69c60ab7,e23ed2b4388e0064ca82f9f106766d91d0cef770690eb144c6a3c3d82460449f,ctls,analytics.dev.etoro.com,,443,https://analytics.dev.etoro.com:443,https,UploadServer,application/xml,GET,2.16.110.65,/,2028370544,,1,False,,True,,,,
antivirus-2018.etoro.com,Just a moment...,403,6834,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://antivirus-2018.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,-1767139093,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
antivirus-38b65.etoro.com,Just a moment...,403,6887,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://antivirus-38b65.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,1314271590,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
antivirus-extension.etoro.com,Just a moment...,403,6879,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://antivirus-extension.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,387996202,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
antivirus-security-free.br.etoro.com,Just a moment...,403,6915,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://antivirus-security-free.br.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,-149672848,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
antivirus.etoro.com,Just a moment...,403,6828,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://antivirus.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,-922083777,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
api-gw.etoro.com,,404,54,api-gw.etoro.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,api-gw.etoro.com,,443,https://api-gw.etoro.com:443,https,,application/json,GET,20.107.18.55,/,-326256188,,1,False,,True,,,,
api-portal.etoro.com,<eToro> developer portal,200,28979,api-portal.etoro.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,api-portal.etoro.com,azure,443,https://api-portal.etoro.com:443,https,,text/html,GET,137.117.211.149,/,-902932171,Orchard Core,713,False,True,True,,,,
api.etoro.com,,404,54,api.etoro.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,api.etoro.com,azure,443,https://api.etoro.com:443,https,,application/json,GET,137.117.211.149,/,-326256188,,1,False,True,True,,,,
apptest.etoro.com,Origin DNS error | apptest.etoro.com | Cloudflare,530,6200,apptest.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,apptest.etoro.com,cloudflare,443,https://apptest.etoro.com:443,https,cloudflare,text/html,GET,104.18.35.149,/,1566382394,Cloudflare,93,False,True,True,,,,
artteam.promed.etoro.com,Just a moment...,403,6882,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://artteam.promed.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,-1124695520,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
artteam.rumed.etoro.com,Just a moment...,403,6816,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://artteam.rumed.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,1913815939,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
asdf.etoro.com,Just a moment...,403,6907,www.etoro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,CN=*.etoro.com,*.etoro.com,,etoro.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",998f1889d430515204eb32cfd435cbc8,e2c2e9694f5296eea1c1e300a8aeb09b9a9b3ab28d73c3b77c815a19ddf6d055,ctls,www.etoro.com,azure,443,https://asdf.etoro.com:443,https,cloudflare,text/html,GET,13.79.184.58,/,-1055022653,HTTP/3,87,False,True,True,https://www.etoro.com/,403,,
