input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,tech_,lines,content_type,cdn
3d49zak4uzj9biec.es.decathlon.preprod.lululemon.com,Access Denied,,312,3d49zak4uzj9biec.es.decathlon.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,3d49zak4uzj9biec.es.decathlon.preprod.lululemon.com,443,https://3d49zak4uzj9biec.es.decathlon.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
api-creator.lululemon.com,403 Forbidden,,548,api-creator.lululemon.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,CN=login.creators.lululemon.com,login.creators.lululemon.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,api-creator.lululemon.com,443,https://api-creator.lululemon.com:443,https,nginx,GET,54.219.62.112,Nginx,14,text/html,
api.lululemon.com,Access Denied,,266,api.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,api.lululemon.com,443,https://api.lululemon.com:443,https,AkamaiGHost,GET,95.100.64.221,,10,text/html,
apis.lululemon.com,Access Denied,,267,apis.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,apis.lululemon.com,443,https://apis.lululemon.com:443,https,,GET,95.100.64.221,,10,text/html,
app-youlu.lululemon.com,Invalid URL,,208,app-youlu.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,app-youlu.lululemon.com,443,https://app-youlu.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,,8,text/html,
apps-youlu.lululemon.com,Invalid URL,,208,apps-youlu.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,apps-youlu.lululemon.com,443,https://apps-youlu.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,,8,text/html,
autodiscover.lululemon.co.uk,Sign in to Outlook,,201882,login.microsoftonline.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,ctls,login.microsoftonline.com,80,http://autodiscover.lululemon.co.uk:80,http,,GET,52.98.243.40,HSTS,173,text/html,
autodiscover.lululemon.com,Sign in to Outlook,,198162,login.microsoftonline.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,ctls,login.microsoftonline.com,80,http://autodiscover.lululemon.com:80,http,,GET,40.99.150.88,HSTS,174,text/html,
autodiscover.service.lululemon.com,Sign in to Outlook,,201857,login.microsoftonline.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,ctls,login.microsoftonline.com,80,http://autodiscover.service.lululemon.com:80,http,,GET,52.98.171.248,HSTS,173,text/html,
blog.lululemon.co.uk,Attention Required! | Cloudflare,,4516,www.lululemon.co.uk,443,tls13,TLS_AES_128_GCM_SHA256,2022-07-13T00:00:00Z,"CN=lululemon.co.uk, O=Lululemon Athletica Canada inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.co.uk,Lululemon Athletica Canada inc.,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,ctls,www.lululemon.co.uk,443,https://blog.lululemon.co.uk:443,https,cloudflare,GET,95.100.64.221,SheerID,94,text/html,
